,sgRNA,x,y,cluster
0,ADNP2,104.20849,-45.83406,25
1,AFF4,91.7872,18.225475,2
2,AHCY,110.693214,-37.3837,25
3,AHDC1,-12.129877,-72.744576,26
4,APITD1,-17.184114,77.02657,26
5,AR,10.492393,-31.91898,27
6,ARID2,108.6258,7.5412583,2
7,ARID3A,-42.335133,28.141678,26
8,ARID3B,-42.787376,24.329247,26
9,ARID4B,17.619415,-13.415491,27
10,ARNT,-125.21656,31.309984,0
11,ATMIN,132.15692,-9.526711,8
12,ATXN7,-23.900633,-25.87518,26
13,BNC1,-66.6542,-9.8515835,26
14,BOLA3,-79.79433,18.894985,13
15,BPTF,137.20084,-9.590544,11
16,BRPF1,59.310207,5.7477417,1
17,CAMTA2,-53.14698,-98.61794,20
18,CDK2,13.641201,-2.1124058,27
19,CDX1,-108.845215,17.00629,13
20,CHAMP1,114.24871,-55.87295,7
21,CHD7,103.60227,25.122627,2
22,CNBP,90.0039,12.974763,2
23,CPEB1,-62.358284,-33.93202,26
24,CRAMP1L,-100.64021,36.12162,13
25,CREBBP,4.334642,24.014076,27
26,CSRNP2,-51.223476,-59.58851,26
27,CTBP1,97.1542,-50.33583,25
28,DAXX,21.238089,-2.1048641,27
29,DEK,-56.038975,17.46135,13
30,DLX2,92.40275,-48.416195,25
31,DNAJC19,83.91175,43.987305,2
32,DNTTIP1,92.157845,43.428932,11
33,DOT1L,18.169586,-33.25829,22
34,ELMSAN1,-82.14882,16.574144,13
35,EOMES,139.44691,8.720322,3
36,EP300,5.4828115,22.834381,27
37,ESRRA,86.31277,42.68426,11
38,ETS1,109.220024,-51.548462,11
39,ETV3,-49.810513,17.356716,26
40,EZH1,90.440994,26.223566,11
41,FOS,-40.081055,17.080515,26
42,FOXC1,114.480675,-42.35384,25
43,FOXI3,-83.47294,14.04856,13
44,GATA4,123.117645,-16.704407,4
45,GATA6,-27.279484,-11.391038,13
46,GATAD1,132.86816,4.1741676,5
47,GBX1,-44.793877,19.61277,26
48,GLI3,-55.09428,12.32029,13
49,GTF2I,107.288864,-40.230877,7
50,HAND1,-2.690237,65.4591,26
51,HAND2,-23.695698,19.04894,26
52,HIF1A,-126.47917,32.36031,0
53,HMG20A,78.08349,20.413074,2
54,HOXB4,22.444391,-23.39709,22
55,ID2,8.919544,82.14375,24
56,IKZF1,-16.408041,-71.67601,26
57,IRF4,-47.465088,19.335142,26
58,IRX2,-50.671658,-62.630768,26
59,ISL1,120.19652,-45.41261,7
60,JUN,-28.516962,19.628033,26
61,KAT7,9.845189,-37.087273,27
62,KCNIP3,-104.15164,16.06184,13
63,KDM5B,89.76629,38.785366,11
64,KDM5C,-57.056507,-14.481532,26
65,KLF10,-99.86369,19.995052,13
66,KLF12,88.83872,23.43473,2
67,KMT2A,56.972786,4.0919194,6
68,LEF1,-0.8878651,67.88243,24
69,LHX2,21.87636,-17.023249,27
70,LZTR1,-41.593884,-69.62005,20
71,LZTS1,-61.10101,-17.74881,26
72,MAFB,88.433266,15.5237875,2
73,MAP3K7,-26.568607,17.360968,26
74,MAPK8IP1,-104.35659,17.789839,13
75,MBD6,80.82656,20.004679,2
76,MEF2A,118.66751,-42.78522,7
77,MEF2C,120.57865,-40.623623,7
78,MEF2D,135.11281,-7.4823046,8
79,MEIS1,26.442501,-20.25081,22
80,MIXL1,118.74937,-13.413462,9
81,MLLT1,62.16795,7.6990776,27
82,MLLT10,-27.500307,-7.532973,26
83,MLX,-35.640594,8.557387,26
84,MSANTD4,-65.080696,-40.50206,26
85,MSX2,-22.152832,77.556465,24
86,MTF1,3.7575958,69.519295,24
87,MTF2,133.8409,-5.2172246,8
88,MYCN,-18.92405,77.23517,24
89,MYOCD,139.23813,-4.039289,8
90,MYRF,20.69579,-15.066037,27
91,NCOA6,95.75823,-44.5752,25
92,NFIL3,-67.59544,-0.7053009,13
93,NFX1,-22.571209,-28.334854,27
94,NKX2-3,-47.704224,-58.251167,26
95,NKX2-5,143.40541,-14.812814,10
96,NKX3-2,-18.94169,-58.891937,26
97,NONO,-42.984505,-67.22528,26
98,NOTCH2,109.52371,-57.947845,11
99,NR3C1,-24.163641,2.8811333,26
100,OVOL1,-48.72004,-62.27333,26
101,OVOL2,-97.809555,17.882807,13
102,PAX2,-25.73544,-21.258083,26
103,PAX7,-64.008545,-7.843663,26
104,PBX2,-68.74395,-47.06863,26
105,PCGF2,90.62286,40.43631,11
106,PCGF6,121.17847,-14.749518,8
107,PHF21A,83.32296,28.110046,11
108,PIN1,-51.697235,-94.1882,20
109,PITX2,-39.794243,13.757317,26
110,PLAGL1,15.5798435,75.781944,24
111,PLAGL2,110.89558,-55.441204,25
112,PPP1R13L,-30.88919,3.3334777,26
113,PURA,-104.89538,9.989482,13
114,RARA,90.70008,20.38815,2
115,RARG,7.3767486,78.55581,24
116,RB1,21.596575,76.909645,24
117,RB1CC1,12.580679,76.71981,24
118,RBL2,19.238058,74.76335,24
119,RBPJ,-37.6526,18.602184,26
120,RBPJL,13.262843,2.6207857,26
121,RCOR2,146.16823,7.2672467,12
122,RFX7,-98.04536,26.181345,13
123,RNF2,140.45833,-14.98217,8
