,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,pval_mean,pval_std,distance_mean,distance_std,pval_mean_log,distance_mean_log
ADNP2:P1P2,32.5078125,0.0,23.557373046875,0.0,30.3568115234375,0.0,25.965087890625,0.0,26.011474609375,0.0,30.9393310546875,0.0,22.947509765625,0.0,28.118408203125,0.0,27.5277099609375,0.0,29.192138671875,0.0,31.905517578125,0.0,29.515625,0.0,25.1416015625,0.0,32.6971435546875,0.0,31.1826171875,0.0,28.955322265625,0.0,28.38525390625,0.0,30.9566650390625,0.0,33.3992919921875,0.0,27.8154296875,0.0,0.0,0.0,28.85390625,3.007461216686898,5.0,1.4602046163819042
AEBP1:P1P2,4.95654296875,0.23,5.5751953125,0.161,4.8485107421875,0.226,5.48779296875,0.153,5.1640625,0.213,4.3385009765625,0.297,5.526123046875,0.162,4.472900390625,0.28,4.5618896484375,0.28,4.920166015625,0.202,6.38916015625,0.08,6.516845703125,0.097,4.35693359375,0.356,5.2086181640625,0.172,6.325927734375,0.094,5.9833984375,0.137,5.758056640625,0.132,4.9842529296875,0.187,4.7569580078125,0.241,5.0380859375,0.223,0.19615,0.07297171405847322,5.25849609375,0.669756161193978,0.707389547161679,0.7208615556415594
AFF2:P1P2,1.9937744140625,0.394,4.2581787109375,0.026,1.979248046875,0.372,4.3250732421875,0.033,3.380859375,0.081,1.670166015625,0.584,4.6282958984375,0.021,1.8558349609375,0.444,2.36767578125,0.24,2.2967529296875,0.26,1.5977783203125,0.588,2.7593994140625,0.15,3.7764892578125,0.051,2.102783203125,0.331,2.5169677734375,0.201,2.9993896484375,0.11,2.4576416015625,0.172,2.13525390625,0.306,2.4979248046875,0.193,2.4442138671875,0.231,0.23939999999999997,0.17263725279507774,2.70218505859375,0.9077453496698275,0.6208577133526793,0.4317150882737144
AFF3:P1P2,5.01025390625,0.07,2.5765380859375,0.491,4.5587158203125,0.103,2.82666015625,0.462,2.432861328125,0.585,4.556396484375,0.085,2.6400146484375,0.534,4.08837890625,0.141,3.5255126953125,0.232,3.42529296875,0.272,4.332763671875,0.102,3.279296875,0.297,2.8328857421875,0.461,5.3775634765625,0.048,4.1256103515625,0.134,2.63134765625,0.506,3.7276611328125,0.198,4.2135009765625,0.108,4.685791015625,0.082,3.200439453125,0.323,0.26170000000000004,0.18237356110323033,3.702374267578125,0.89297696129704,0.5821796825498572,0.5684803188274944
AHCTF1:P1P2,21.5614013671875,0.21,27.6954345703125,0.105,20.2861328125,0.24,29.4586181640625,0.085,25.7852783203125,0.116,20.66845703125,0.245,30.8209228515625,0.067,19.5889892578125,0.252,25.04296875,0.134,22.6534423828125,0.163,21.1890869140625,0.214,23.9324951171875,0.166,27.8939208984375,0.105,19.938232421875,0.252,21.9022216796875,0.194,25.3052978515625,0.14,23.7313232421875,0.147,22.432861328125,0.152,21.99951171875,0.193,23.2081298828125,0.195,0.16875,0.05690331134569642,23.754736328125,3.2280563081202445,0.7727304832901566,1.3757502142174063
AHDC1:P1P2,28.6619873046875,0.0,36.4791259765625,0.0,28.6630859375,0.0,38.504150390625,0.0,35.6497802734375,0.0,28.818115234375,0.0,35.7867431640625,0.0,28.4703369140625,0.0,31.180419921875,0.0,32.1419677734375,0.0,31.5828857421875,0.0,33.95703125,0.0,33.3961181640625,0.0,29.435302734375,0.0,34.7293701171875,0.0,35.2857666015625,0.0,35.0037841796875,0.0,32.59912109375,0.0,30.0516357421875,0.0,32.7227783203125,0.0,0.0,0.0,32.655975341796875,3.003941145198105,5.0,1.5139626594406628
AHRR:P1P2,2.748046875,0.122,2.82958984375,0.12,2.7303466796875,0.12,3.162109375,0.092,2.676513671875,0.156,1.9168701171875,0.363,3.800048828125,0.036,2.510498046875,0.174,2.1993408203125,0.256,2.811279296875,0.119,2.498779296875,0.172,3.513916015625,0.063,2.78076171875,0.145,2.8148193359375,0.097,3.23876953125,0.047,3.298095703125,0.072,2.925537109375,0.115,1.6912841796875,0.472,2.9058837890625,0.11,2.354248046875,0.206,0.15284999999999999,0.10617377761307911,2.7703369140625,0.5056772807794274,0.8157061447510449,0.442532588927453
AKAP8L:P1P2,2.7001953125,0.475,4.200927734375,0.155,2.8402099609375,0.381,4.345458984375,0.152,3.70361328125,0.191,2.9022216796875,0.415,5.5531005859375,0.052,2.7926025390625,0.427,3.9940185546875,0.165,2.492919921875,0.59,2.283935546875,0.643,2.22802734375,0.691,4.03564453125,0.204,2.0157470703125,0.733,2.23046875,0.635,3.7431640625,0.229,2.561279296875,0.532,2.9307861328125,0.371,3.0008544921875,0.354,3.57421875,0.239,0.38169999999999993,0.2054115509487183,3.2064697265625,0.9075110175996162,0.41826646229892195,0.5060271439417283
AKAP8:P1P2,4.7215576171875,0.075,9.5670166015625,0.001,4.43896484375,0.11,9.5755615234375,0.002,8.0142822265625,0.009,4.4443359375,0.1,10.2479248046875,0.002,4.4637451171875,0.089,6.89404296875,0.02,5.9122314453125,0.035,4.4564208984375,0.099,5.9063720703125,0.028,9.0018310546875,0.003,4.85400390625,0.065,5.2298583984375,0.057,6.9832763671875,0.015,6.0111083984375,0.022,5.82177734375,0.026,5.04443359375,0.06,6.2882080078125,0.021,0.041950000000000015,0.036748755797054944,6.39384765625,1.9121531720054932,1.3771645204784795,0.8057622842912869
AKNA:P1,5.072509765625,0.053,4.5908203125,0.098,4.5755615234375,0.077,4.49560546875,0.092,3.863037109375,0.133,3.4315185546875,0.201,3.30029296875,0.282,3.970703125,0.136,3.5142822265625,0.237,4.758056640625,0.077,5.292236328125,0.056,5.333251953125,0.041,3.529296875,0.218,5.6610107421875,0.039,5.70556640625,0.023,4.4287109375,0.099,5.594482421875,0.031,4.4364013671875,0.1,3.9295654296875,0.144,3.723876953125,0.168,0.11525,0.07379764295194771,4.46033935546875,0.7885921450997372,0.9383213847546628,0.6493679023446047
AKNA:P2,1.5555419921875,0.8,4.2637939453125,0.056,1.89697265625,0.632,4.0985107421875,0.057,3.0201416015625,0.224,1.21728515625,0.941,4.8907470703125,0.039,1.4200439453125,0.87,2.78662109375,0.268,1.6961669921875,0.735,1.7080078125,0.759,2.0845947265625,0.569,3.7418212890625,0.13,1.467041015625,0.841,1.5068359375,0.816,2.6597900390625,0.321,1.8494873046875,0.657,2.08251953125,0.506,1.8270263671875,0.65,2.0255126953125,0.565,0.5218,0.301641229905574,2.389923095703125,1.0736564236725694,0.2824876023089975,0.37838392619954797
ALX1:P1P2,4.1121826171875,0.175,5.5628662109375,0.046,4.43603515625,0.106,5.6793212890625,0.051,4.9049072265625,0.088,3.44775390625,0.284,7.9180908203125,0.007,3.9134521484375,0.178,4.913330078125,0.083,3.9359130859375,0.174,4.2889404296875,0.146,5.0316162109375,0.075,5.2454833984375,0.074,2.875,0.441,3.5166015625,0.229,5.779296875,0.042,4.4906005859375,0.109,2.893310546875,0.379,3.5855712890625,0.237,4.6868896484375,0.094,0.15089999999999998,0.11472846661849699,4.560858154296875,1.1690829947681858,0.8212819808942314,0.6590465656055332
ALX3:P1P2,4.0760498046875,0.024,2.32177734375,0.199,3.052490234375,0.073,2.480712890625,0.178,2.656982421875,0.136,3.8529052734375,0.026,1.8603515625,0.392,3.2353515625,0.069,2.6229248046875,0.147,3.218505859375,0.063,2.89599609375,0.093,3.22119140625,0.065,2.018798828125,0.302,4.475830078125,0.013,4.124267578125,0.011,2.312744140625,0.213,3.62841796875,0.045,3.9415283203125,0.013,4.0242919921875,0.017,2.842529296875,0.101,0.10899999999999996,0.10391443848818985,3.143182373046875,0.7664585057796987,0.9625336603564998,0.4973695802890067
ALX4:P1P2,6.5050048828125,0.054,12.3958740234375,0.002,6.76611328125,0.043,12.8072509765625,0.002,10.7098388671875,0.002,6.357177734375,0.06,13.331298828125,0.001,7.0162353515625,0.034,8.3023681640625,0.015,8.5648193359375,0.015,8.10107421875,0.017,10.4803466796875,0.006,11.1636962890625,0.004,7.062744140625,0.037,9.2191162109375,0.007,10.8126220703125,0.003,9.7325439453125,0.011,7.4892578125,0.019,6.9462890625,0.035,8.841796875,0.01,0.018850000000000006,0.018428453400566258,9.1302734375,2.2006209168018276,1.7244583115986902,0.9604837841738556
ALYREF:P1P2,11.9554443359375,0.242,18.5006103515625,0.057,13.097412109375,0.171,19.3021240234375,0.053,16.9100341796875,0.065,12.62060546875,0.21,20.531982421875,0.033,13.0257568359375,0.175,15.08447265625,0.115,14.0706787109375,0.148,12.1683349609375,0.22,14.4342041015625,0.159,18.0611572265625,0.068,12.55859375,0.209,14.0787353515625,0.114,16.2071533203125,0.104,14.2139892578125,0.144,13.3291015625,0.141,13.86669921875,0.178,15.3875732421875,0.095,0.13505000000000003,0.061295208879478896,14.970233154296874,2.504047423419655,0.8694732546158362,1.1752285643267557
ANHX:P1P2,6.0194091796875,0.216,6.5972900390625,0.154,6.32470703125,0.179,6.9156494140625,0.158,6.7794189453125,0.132,6.275146484375,0.178,6.2625732421875,0.196,5.7235107421875,0.228,6.6220703125,0.161,6.3721923828125,0.188,6.8404541015625,0.123,6.9547119140625,0.129,5.9886474609375,0.228,6.783203125,0.13,7.7891845703125,0.085,6.8304443359375,0.138,7.4266357421875,0.09,6.474853515625,0.155,6.6953125,0.146,6.1722412109375,0.185,0.15994999999999998,0.040431195616100306,6.5923828125,0.4884355748489925,0.795988604538516,0.8190424184295303
ANKRD1:P1P2,2.79052734375,0.263,3.14111328125,0.197,2.9798583984375,0.201,3.775634765625,0.096,3.02783203125,0.2,2.3292236328125,0.406,4.061767578125,0.091,1.982177734375,0.548,3.4171142578125,0.137,2.130859375,0.5,1.898193359375,0.612,1.644287109375,0.795,3.677978515625,0.119,1.9659423828125,0.575,1.72607421875,0.699,2.49755859375,0.364,1.52880859375,0.802,2.4251708984375,0.36,3.3570556640625,0.141,2.514404296875,0.358,0.37320000000000003,0.2348035236891519,2.6435791015625,0.7602918973799188,0.42804672803744853,0.42219230995888524
ANKRD30A:P1P2,2.7900390625,0.181,2.662353515625,0.226,2.0770263671875,0.447,2.84033203125,0.21,1.92431640625,0.51,2.2684326171875,0.352,3.2802734375,0.117,1.54052734375,0.706,3.4998779296875,0.101,1.752685546875,0.583,1.81591796875,0.568,1.348876953125,0.848,3.006103515625,0.174,2.4105224609375,0.288,1.52392578125,0.705,2.130615234375,0.408,1.871826171875,0.512,2.7344970703125,0.201,2.6051025390625,0.235,1.889892578125,0.509,0.39405,0.21809521701360288,2.2986572265625,0.6089833727026329,0.40443764699414886,0.3614742145441082
ANKZF1:P1P2,6.0323486328125,0.036,7.4056396484375,0.015,8.075439453125,0.011,7.8756103515625,0.013,7.51318359375,0.015,6.44580078125,0.02,10.8812255859375,0.0,7.298095703125,0.008,7.2012939453125,0.013,5.9383544921875,0.038,6.1654052734375,0.037,7.6224365234375,0.016,7.4334716796875,0.013,4.72265625,0.082,6.3206787109375,0.03,8.2088623046875,0.011,5.8228759765625,0.048,4.96435546875,0.069,6.524169921875,0.037,7.0379638671875,0.019,0.026550000000000008,0.02096230953527382,6.974493408203125,1.3385054636138092,1.57577192930402,0.8435126681446355
ARGFX:P1P2,2.570068359375,0.32,4.930419921875,0.029,2.3265380859375,0.403,5.286865234375,0.029,4.067138671875,0.061,1.9019775390625,0.575,6.153564453125,0.012,1.8314208984375,0.644,3.8858642578125,0.079,2.906494140625,0.245,2.60693359375,0.299,3.362060546875,0.184,4.61962890625,0.043,2.0545654296875,0.519,2.653564453125,0.286,4.19384765625,0.072,3.102783203125,0.176,2.3760986328125,0.356,2.9754638671875,0.213,3.1239013671875,0.189,0.23670000000000005,0.1894165835011897,3.3464599609375,1.20101169574268,0.6257833945716261,0.5245856332098526
ARHGAP35:ENST00000404338.3,6.27490234375,0.027,9.22314453125,0.005,6.8167724609375,0.02,10.381591796875,0.001,9.3759765625,0.008,6.0494384765625,0.05,12.049560546875,0.001,6.18212890625,0.033,8.4752197265625,0.008,7.02197265625,0.021,6.05517578125,0.041,7.4794921875,0.007,9.28955078125,0.003,4.6175537109375,0.112,6.421630859375,0.026,9.232177734375,0.002,6.896728515625,0.025,6.1536865234375,0.029,7.7015380859375,0.01,7.851806640625,0.012,0.022050000000000007,0.025405086519290417,7.67750244140625,1.8057177299791063,1.6563944918958282,0.8852199632185378
ARID1A:P1P2,19.1553955078125,0.574,20.2818603515625,0.49,16.45166015625,0.706,18.1651611328125,0.629,18.5850830078125,0.556,18.795166015625,0.559,19.8221435546875,0.574,18.0357666015625,0.593,20.3486328125,0.509,19.0162353515625,0.558,17.0926513671875,0.675,17.1385498046875,0.677,19.7020263671875,0.582,20.102294921875,0.488,18.8009033203125,0.537,17.6851806640625,0.635,17.6593017578125,0.629,17.223876953125,0.657,19.959716796875,0.522,18.0181884765625,0.624,0.5887,0.06368185728579547,18.60198974609375,1.186442509618479,0.23009858707226527,1.26955940064434
ARID1B:P2,2.5233154296875,0.204,1.8995361328125,0.48,2.711669921875,0.179,1.7508544921875,0.553,1.8675537109375,0.454,2.373046875,0.252,1.8299560546875,0.485,2.5838623046875,0.195,2.012939453125,0.41,2.2318115234375,0.264,2.3804931640625,0.263,2.1995849609375,0.358,1.3702392578125,0.794,2.885986328125,0.124,3.0531005859375,0.099,2.128173828125,0.37,2.5899658203125,0.188,2.800048828125,0.123,2.427001953125,0.204,2.1177978515625,0.345,0.3172,0.1745935430167963,2.286846923828125,0.42693955659855587,0.4986531300670348,0.35923709492519235
ARID2:P1P2,29.8709716796875,0.0,25.537109375,0.0,27.54296875,0.0,27.2237548828125,0.0,27.9056396484375,0.0,27.733642578125,0.0,27.1676025390625,0.0,26.4459228515625,0.0,28.257080078125,0.0,28.0213623046875,0.0,25.4696044921875,0.0,25.5653076171875,0.0,28.1824951171875,0.0,26.69287109375,0.0,26.31005859375,0.0,28.0360107421875,0.0,25.3282470703125,0.0,27.1494140625,0.0,32.2801513671875,0.0,27.0426025390625,0.0,0.0,0.0,27.388140869140624,1.6250115585664144,5.0,1.4375625529667544
ARID3A:P1P2,15.03759765625,0.0,18.28515625,0.0,14.9410400390625,0.0,20.16064453125,0.0,17.92919921875,0.0,15.8704833984375,0.0,19.880126953125,0.0,14.74267578125,0.0,17.3143310546875,0.0,15.79052734375,0.0,16.686767578125,0.0,17.01611328125,0.0,18.3251953125,0.0,15.1707763671875,0.0,17.44677734375,0.0,17.862548828125,0.0,17.352783203125,0.0,16.9578857421875,0.0,16.7010498046875,0.0,16.6322021484375,0.0,0.0,0.0,17.005194091796874,1.5099258148134023,5.0,1.2305815931940756
ARID3B:P1P2,10.0074462890625,0.001,16.6593017578125,0.0,10.6376953125,0.0,17.1976318359375,0.0,15.0125732421875,0.0,10.74365234375,0.0,18.0050048828125,0.0,10.9674072265625,0.0,13.2861328125,0.0,12.525390625,0.0,12.5174560546875,0.0,14.4849853515625,0.0,15.3902587890625,0.0,11.144775390625,0.0,13.7525634765625,0.0,14.9256591796875,0.0,14.5194091796875,0.0,12.46044921875,0.0,11.186767578125,0.0,12.7205810546875,0.0,5e-05,0.00022360679774997898,13.407257080078125,2.3248410558487436,4.221848749616356,1.1273399369245072
ARID4A:P1P2,5.968505859375,0.013,10.396484375,0.001,5.4449462890625,0.024,10.6923828125,0.0,8.865966796875,0.004,5.9454345703125,0.018,10.636474609375,0.002,5.5830078125,0.029,7.9158935546875,0.002,7.1011962890625,0.007,6.08056640625,0.016,7.578369140625,0.004,9.70068359375,0.001,6.4642333984375,0.01,7.67578125,0.004,8.49658203125,0.002,7.48876953125,0.004,7.4354248046875,0.004,6.2147216796875,0.006,7.0634765625,0.006,0.007850000000000001,0.008106365270251326,7.637445068359375,1.6812640582850436,2.104577453960592,0.8829480996376223
ARID4B:P1P2,20.844970703125,0.0,28.46728515625,0.0,19.7718505859375,0.0,29.7642822265625,0.0,26.402099609375,0.0,20.1109619140625,0.0,30.474609375,0.0,19.330810546875,0.0,25.1593017578125,0.0,22.92724609375,0.0,20.52880859375,0.0,22.7333984375,0.0,28.360107421875,0.0,19.6578369140625,0.0,21.170654296875,0.0,25.106689453125,0.0,22.808837890625,0.0,22.3758544921875,0.0,21.7601318359375,0.0,22.864013671875,0.0,0.0,0.0,23.530987548828126,3.515675296819628,5.0,1.3716401540356375
