,pval_outlier
ADNP2_-_77867536.23-P1P2-1,1.0
ADNP2_-_77867536.23-P1P2-2,1.0
ADNP2_-_77867648.23-P1P2-2,1.0
AEBP1_+_44143999.23-P1P2-1,1.0
AEBP1_+_44143999.23-P1P2-2,1.0
AEBP1_+_44144108.23-P1P2-2,1.0
AFF1_+_87856192.23-P1P2-1,0.9912
AFF1_+_87856192.23-P1P2-2,0.9214
AFF1_+_87856246.23-P1P2-2,0.9912
AFF1_-_87856378.23-P1P2-2,0.5
AFF2_+_147582328.23-P1P2-1,1.0
AFF2_+_147582328.23-P1P2-2,1.0
AFF2_+_147582601.23-P1P2-2,1.0
AFF2_-_147582385.23-P1P2-1,1.0
AFF2_-_147582385.23-P1P2-2,1.0
AFF3_+_100758974.23-P1P2-1,0.9984
AFF3_-_100758841.23-P1P2-1,1.0
AFF3_-_100758841.23-P1P2-2,0.367
AFF3_-_100758884.23-P1P2-1,0.9531
AFF3_-_100758884.23-P1P2-2,0.8792
AFF4_-_132299252.23-P1P2-1,0.4649
AFF4_-_132299279.23-P1P2-1,1.0
AFF4_-_132299279.23-P1P2-2,0.367
AFF4_-_132299282.23-P1P2-1,0.9999
AFF4_-_132299282.23-P1P2-2,1.0
AHCTF1_+_247095176.23-P1P2-2,1.0
AHCTF1_-_247095134.23-P1P2-2,1.0
AHCY_-_32890731.23-P1P2-1,0.9707
AHCY_-_32891095.23-P1P2-1,0.6808
AHCY_-_32891095.23-P1P2-2,0.3192
AHCY_-_32891145.23-P1P2-1,0.6808
AHCY_-_32891145.23-P1P2-2,0.9707
AHDC1_+_27930650.23-P1P2-1,0.5
AHDC1_+_27930650.23-P1P2-2,0.5
AHDC1_+_27930669.23-P1P2-1,0.9912
AHDC1_-_27930702.23-P1P2-1,0.5
AHDC1_-_27930702.23-P1P2-2,0.9979
AHRR_+_321892.23-P1P2-1,0.3634
AHRR_-_321899.23-P1P2-1,0.3634
AHRR_-_321899.23-P1P2-2,0.7186
AHRR_-_322105.23-P1P2-1,0.9366
AHR_+_17338289.23-P1P2-1,1.0
AHR_+_17338289.23-P1P2-2,0.9731
AHR_-_17338343.23-P1P2-1,1.0
AHR_-_17338343.23-P1P2-2,0.367
AHR_-_17338362.23-P1P2-1,0.9993
AHR_-_17338362.23-P1P2-2,0.661
AIRE_-_45705761.23-P1P2-1,0.9997
AIRE_-_45705761.23-P1P2-2,0.8209
AIRE_-_45705829.23-P1P2-1,1.0
AIRE_-_45706000.23-P1P2-1,0.9926
AIRE_-_45706000.23-P1P2-2,0.661
AKAP8L_+_15529720.23-P1P2-1,0.9854
AKAP8L_+_15529720.23-P1P2-2,0.9984
AKAP8L_+_15529754.23-P1P2-2,0.9993
AKAP8L_-_15529435.23-P1P2-1,0.8792
AKAP8L_-_15529435.23-P1P2-2,1.0
AKAP8_+_15490522.23-P1P2-1,0.6808
AKAP8_+_15490522.23-P1P2-2,0.5
AKAP8_+_15490538.23-P1P2-1,0.9707
AKAP8_+_15490538.23-P1P2-2,0.6808
AKAP8_+_15490555.23-P1P2-2,0.9979
AKNA_+_117150188.23-P1-1,1.0
AKNA_+_117150188.23-P1-2,1.0
AKNA_+_117150220.23-P1-1,1.0
AKNA_+_117150220.23-P1-2,1.0
AKNA_+_117150267.23-P1-1,1.0
AKNA_+_117150267.23-P1-2,1.0
AKNA_+_117160706.23-P2-2,0.9366
AKNA_-_117160725.23-P2-1,0.7186
AKNA_-_117160725.23-P2-2,0.7186
ALX1_+_85673995.23-P1P2-1,0.7476
ALX1_+_85673995.23-P1P2-2,0.9227
ALX1_+_85674007.23-P1P2-1,1.0
ALX1_+_85674007.23-P1P2-2,0.8209
ALX1_-_85674035.23-P1P2-1,0.9997
ALX1_-_85674035.23-P1P2-2,0.9731
ALX3_-_110613186.23-P1P2-1,0.9214
ALX3_-_110613186.23-P1P2-2,0.9912
ALX3_-_110613262.23-P1P2-1,0.9999
ALX4_+_44331527.23-P1P2-1,0.9999
ALX4_+_44331527.23-P1P2-2,0.9854
ALX4_-_44331556.23-P1P2-1,1.0
ALX4_-_44331565.23-P1P2-1,0.9999
ALX4_-_44331565.23-P1P2-2,0.5649
ALYREF_+_79849261.23-P1P2-1,1.0
ALYREF_+_79849261.23-P1P2-2,1.0
ANHX_+_133812067.23-P1P2-1,0.5
ANHX_+_133812391.23-P1P2-2,0.5
ANKRD1_+_92680756.23-P1P2-1,1.0
ANKRD1_+_92680756.23-P1P2-2,1.0
ANKRD1_+_92680777.23-P1P2-1,1.0
ANKRD1_+_92680777.23-P1P2-2,1.0
ANKRD1_+_92680828.23-P1P2-1,1.0
ANKRD1_+_92680828.23-P1P2-2,1.0
ANKRD30A_+_37414713.23-P1P2-1,1.0
ANKRD30A_+_37414713.23-P1P2-2,1.0
ANKRD30A_+_37414734.23-P1P2-1,1.0
ANKRD30A_+_37414734.23-P1P2-2,1.0
ANKRD30A_-_37414610.23-P1P2-2,1.0
ANKZF1_+_220094583.23-P1P2-1,1.0
ANKZF1_+_220094583.23-P1P2-2,1.0
ANKZF1_+_220094599.23-P1P2-1,1.0
ANKZF1_+_220094599.23-P1P2-2,1.0
ANKZF1_+_220094610.23-P1P2-1,1.0
ANKZF1_+_220094610.23-P1P2-2,1.0
APITD1_+_10491041.23-P1P2-1,1.0
APITD1_+_10491041.23-P1P2-2,1.0
