,hierarchy_height,out_degree,in_degree,total_deg,is_CHD_TF,LOEUF
IRX2,-1.0,0,5,12,False,1.305
FOS,-1.0,0,19,19,False,0.581
NKX2-3,-1.0,0,6,6,False,0.561
NR3C1,-1.0,0,5,11,False,0.294
ETS1,-1.0,0,6,10,False,0.393
MSX2,-1.0,0,13,35,False,1.013
TBX18,-0.9285714285714286,1,27,29,False,0.56
PPP1R13L,-0.8333333333333334,1,11,27,False,0.974
WT1,-0.8181818181818182,1,10,80,False,0.253
BNC1,-0.7142857142857143,1,6,31,False,0.212
TBX5,-0.7142857142857143,1,6,34,True,0.267
GATA6,-0.6,1,4,15,True,0.527
JUN,-0.6,2,8,22,False,0.716
MYCN,-0.6,1,4,28,False,0.311
MYRF,-0.5,2,6,63,False,0.215
LHX2,-0.5,3,9,24,False,0.368
MYOCD,-0.4375,9,23,196,False,0.395
KLF10,-0.3333333333333333,2,4,9,False,0.817
ZNF503,-0.3333333333333333,3,6,12,False,1.029
SMAD2,-0.2,4,6,47,True,0.249
TBX2,-0.2,6,9,100,False,0.832
PLAGL1,-0.2,2,3,15,False,1.017
ARID3A,-0.2,4,6,58,False,0.442
MEF2C,-0.125,7,9,294,False,0.212
PHF21A,0.0,3,3,40,False,0.149
NKX2-5,0.0,20,20,372,True,0.321
GLI3,0.14285714285714285,8,6,101,True,0.298
MIXL1,0.16666666666666666,7,5,54,False,1.924
SMAD3,0.25,5,3,23,True,0.373
MTF2,0.2727272727272727,7,4,94,False,0.289
HOXB4,0.2903225806451613,20,11,313,False,1.177
HAND1,0.3333333333333333,30,15,469,True,1.188
HAND2,0.38461538461538464,9,4,99,True,0.601
ADNP2,0.42857142857142855,5,2,106,False,0.896
CREBBP,0.42857142857142855,5,2,62,True,0.101
ZNF608,0.42857142857142855,5,2,81,False,0.161
FOXC1,0.5,6,2,54,True,1.276
PITX2,0.5333333333333333,23,7,364,True,0.41
ZNF148,0.6,4,1,118,False,0.208
ZIC5,0.6,4,1,45,False,1.348
ZNF91,0.6,4,1,49,False,1.14
MEIS1,0.625,13,3,172,False,0.228
SMAD6,0.6363636363636364,18,4,144,True,1.996
SETDB1,0.6666666666666666,5,1,74,False,0.29
TP53,0.6923076923076923,11,2,115,False,0.449
TCF7,0.7142857142857143,12,2,150,False,0.624
SALL2,0.75,7,1,31,False,0.723
MEF2A,0.7647058823529411,15,2,189,False,0.762
KMT2A,0.7777777777777778,8,1,137,True,0.065
ARNT,0.7777777777777778,16,2,214,False,0.387
SOX4,0.8,27,3,435,False,0.72
RB1,0.8095238095238095,19,2,268,False,0.239
ZNF787,0.8181818181818182,10,1,186,False,1.214
RNF2,0.8333333333333334,11,1,101,False,0.321
CHAMP1,0.8571428571428571,13,1,330,False,0.16
TBX20,0.8787878787878788,62,4,754,True,0.378
ZFPM2,0.8947368421052632,18,1,265,True,0.274
ISL1,0.8958333333333334,91,5,1275,False,0.235
HIF1A,0.9166666666666666,23,1,431,False,0.353
SMAD5,0.9259259259259259,26,1,246,False,0.174
RCOR2,0.9285714285714286,54,2,864,False,0.539
SOX11,0.9649122807017544,56,1,942,False,1.148
TADA2B,1.0,57,0,950,False,0.758
RBL2,1.0,14,0,118,False,0.602
MBD6,1.0,5,0,61,False,0.5
PLAGL2,1.0,12,0,124,False,0.469
CDK2,1.0,5,0,108,False,0.39
CRAMP1L,1.0,8,0,104,False,
LZTR1,1.0,18,0,251,True,1.997
PBX2,1.0,5,0,65,False,0.399
TCEB3,1.0,6,0,43,False,
PIN1,1.0,9,0,156,False,1.176
ZNF460,1.0,5,0,137,False,0.548
ARID2,1.0,26,0,336,False,0.224
ZBTB10,1.0,12,0,179,False,0.626
ZSCAN10,1.0,8,0,76,False,1.312
GATA4,1.0,13,0,209,True,0.468
ZC3H3,1.0,19,0,153,False,0.658
GATAD1,1.0,6,0,76,False,1.789
ZNF532,1.0,8,0,174,False,0.307
ZFP64,1.0,11,0,143,False,0.436
PCGF2,1.0,9,0,85,False,0.443
PCGF6,1.0,13,0,217,False,1.012
