,index,x,y,cluster,TGFB,NODAL,FOXO,MAPK
0,ACTC1_P1P2,42.140747,15.57999,15,False,False,False,False
1,ACTN2_P1P2,67.64728,-31.305956,15,False,False,False,False
2,ACVR2B_P1P2,-3.0245533,28.873154,15,True,False,False,False
3,ADNP2_P1P2,-18.935305,5.953917,13,False,False,False,False
4,AFF4_P1P2,-52.914253,30.375504,13,False,False,False,False
5,BMPR2_P1P2,-83.20802,36.1665,17,True,False,False,False
6,BNC1_P1P2,71.433495,-43.121475,15,False,False,False,False
7,BPTF_P1P2,-55.804077,16.427689,4,False,False,False,False
8,BRAF_P1P2,33.9296,-11.549025,15,False,False,True,True
9,CAMTA2_P1P2,69.71598,-65.81686,5,False,False,False,False
10,CDX2_P1P2,72.94525,17.118778,15,False,False,False,False
11,CEBPG_P1P2,-47.609528,27.882898,13,False,False,False,False
12,CHAMP1_P1P2,-52.598164,15.433702,4,False,False,False,False
13,CHD7_P1P2,-67.03617,21.162033,13,False,False,False,False
14,CITED2_P1P2,22.126423,-46.7278,5,False,True,False,False
15,CNBP_P1P2,-36.202553,75.967316,17,False,False,False,False
16,CREBBP_P1P2,45.405277,-7.772,15,True,False,True,False
17,DPF2_P1,-55.23058,33.714725,13,False,False,False,False
18,EHMT1_P1P2,-35.649708,79.256294,17,False,False,False,False
19,EOMES_P1P2,-67.15091,60.1242,0,False,False,False,False
20,EP300_P1P2,20.5113,-95.59747,14,True,False,True,False
21,FBRSL1_P1P2,35.666977,-32.678116,15,False,False,False,False
22,FGFR2_P1P2,-24.617601,7.6108017,13,False,False,False,True
23,FOXC1_P1P2,-67.064575,18.871279,13,False,False,False,False
24,FOXD3_P1,-28.348467,35.708454,13,False,False,False,False
25,FOXD3_P2,-26.330101,36.090237,13,False,False,False,False
26,FOXH1_P1P2,18.909906,-45.76704,1,False,True,False,False
27,GABRA5_P1P2,73.78726,-33.726368,15,False,False,False,False
28,GABRA6_P1P2,47.49393,15.1258335,15,False,False,False,False
29,GABRB1_P1P2,56.2272,21.749334,15,False,False,False,False
30,GABRB3_P1P2,38.393887,-14.23234,15,False,False,False,False
31,GATA4_P1P2,-64.44465,58.467777,0,False,False,False,False
32,GATA6_P1P2,-0.09046734,24.115768,15,False,False,False,False
33,GTF2I_P1P2,0.5701519,-0.044449117,15,False,False,False,False
34,HIF1A_P1P2,9.5952215,11.464627,2,False,False,False,False
35,HMG20A_P1P2,-40.94659,45.356396,13,False,False,False,False
36,HMGCR_P1P2,67.521355,19.781727,5,False,False,False,False
37,HOXB4_P1P2,25.167665,-52.223167,5,False,False,False,False
38,HRAS_P1,70.95378,-31.040287,15,False,False,True,True
39,HRAS_P2,66.097916,-23.74518,15,False,False,True,True
40,IKZF1_P1P2,53.505394,-60.844982,5,False,False,False,False
41,ISL1_P1,-70.8878,11.767125,3,False,False,False,False
42,JAG1_P1P2,23.928751,-91.944084,14,False,False,False,False
43,JAK2_P1P2,68.130165,-44.75934,15,False,False,False,False
44,KAT7_P1P2,25.792934,-48.72514,5,False,False,False,False
