,promoter,enhancer,edist,pro_enh_dist,promoter_nontarget_pval,enhancer_nontarget_pval,promoter_nontarget_edist,enhancer_nontarget_edist,total_cell_num,edist_norm,target_name,expression_category,expression_level,expression_level_norm,is_NT
0,ACVR2B_P1P2,Element902,16.0140380859375,65483,5.0,0.786854275257165,16.725189208984375,2.20849609375,4162,0.9574802345037232,ACVR2B,normal,83.01442,1.0621095,False
1,ACVR2B_P1P2,Element903,20.124755859375,68764,5.0,1.1477640605881128,16.725189208984375,2.895355224609375,3901,1.2032602805213384,ACVR2B,normal,74.11135,0.9482011,False
2,ACVR2B_P1P2,Element904,15.666748046875,75678,5.0,0.2298404669416104,16.725189208984375,1.197149658203125,4066,0.936715743607803,ACVR2B,normal,88.97308,1.1383462,False
3,ACVR2B_P1P2,Element905,13.6419677734375,80241,5.0,0.9125380338281808,16.725189208984375,2.190228271484375,4344,0.8156540176005518,ACVR2B,normal,70.112206,0.89703494,False
4,ACVR2B_P1P2,OR10H2,16.4205322265625,-1,5.0,-1.0,16.725189208984375,-1.0,3327,0.9817845419495631,ACVR2B,normal,76.72568,0.9816495,True
5,ACVR2B_P1P2,OR10K1,14.9195556640625,-1,5.0,-1.0,16.725189208984375,-1.0,3161,0.8920410691705699,ACVR2B,normal,79.90196,1.0222877,True
6,ACVR2B_P1P2,OR10V1,14.323974609375,-1,5.0,-1.0,16.725189208984375,-1.0,3096,0.8564312445374609,ACVR2B,normal,80.799446,1.0337704,True
7,ACVR2B_P1P2,OR14J1,12.2025146484375,-1,5.0,-1.0,16.725189208984375,-1.0,3306,0.7295890345971452,ACVR2B,normal,66.79433,0.85458505,True
8,ACVR2B_P1P2,OR2A2,16.4512939453125,-1,5.0,-1.0,16.725189208984375,-1.0,3364,0.9836237868373564,ACVR2B,normal,85.51017,1.0940408,True
9,ADNP2_P1P2,Element694,15.4429931640625,4709,5.0,0.2795016656506534,18.84992065429688,1.269573974609375,3253,0.819260380310526,ADNP2,normal,20.127785,0.981589,False
10,ADNP2_P1P2,Element695,17.9384765625,149,5.0,0.81485464232435,18.84992065429688,2.18599853515625,2880,0.9516473247547005,ADNP2,normal,16.264706,0.7931949,False
11,ADNP2_P1P2,Element696,10.671630859375,7,5.0,2.7189666327522723,18.84992065429688,3.490594482421875,4630,0.5661366461477586,ADNP2,normal,9.139147,0.44569662,False
12,ADNP2_P1P2,Element697,23.248291015625,83932,5.0,0.3399792777320773,18.84992065429688,1.571026611328125,2598,1.2333362798705203,ADNP2,normal,18.934578,0.92339885,False
13,ADNP2_P1P2,Element698,26.93408203125,129023,5.0,3.958607314841775,18.84992065429688,5.468359375,3528,1.4288697828078294,ADNP2,normal,19.963726,0.9735882,False
14,ADNP2_P1P2,Element699,19.84912109375,129854,5.0,0.3715497621150474,18.84992065429688,1.1517333984375,4593,1.0530082040013973,ADNP2,normal,19.57743,0.9547494,False
15,ADNP2_P1P2,OR10H2,22.76708984375,-1,5.0,-1.0,18.84992065429688,-1.0,2240,1.2078082587875612,ACVR2B,normal,76.72568,0.9816495,True
16,ADNP2_P1P2,OR10K1,21.1727294921875,-1,5.0,-1.0,18.84992065429688,-1.0,2072,1.1232264517443011,ACVR2B,normal,79.90196,1.0222877,True
17,ADNP2_P1P2,OR10V1,21.1400146484375,-1,5.0,-1.0,18.84992065429688,-1.0,2001,1.1214909089613907,ACVR2B,normal,80.799446,1.0337704,True
18,ADNP2_P1P2,OR14J1,21.436767578125,-1,5.0,-1.0,18.84992065429688,-1.0,2213,1.1372338362198062,ACVR2B,normal,66.79433,0.85458505,True
19,ADNP2_P1P2,OR2A2,22.2684326171875,-1,5.0,-1.0,18.84992065429688,-1.0,2273,1.1813541831599892,ACVR2B,normal,85.51017,1.0940408,True
20,AFF4_P1P2,Element1000,11.196533203125,77902,5.0,0.7023270129805463,9.14952392578125,1.754656982421875,5289,1.2237285014989414,AFF4,normal,165.82095,1.005797,False
21,AFF4_P1P2,Element1001,10.79931640625,70691,5.0,0.4706851648468626,9.14952392578125,1.202447509765625,6420,1.1803145708838485,AFF4,normal,163.78152,0.9934268,False
