,index,expression_mean,expression_median,target_gene,expression_mean_norm,expression_mean_log10
0,non-targeting,78.15995,0.0,ACVR2B,1.0,1.8929843
1,Element902,83.01442,0.0,ACVR2B,1.0621095,1.9191536
2,Element903,74.11135,0.0,ACVR2B,0.9482011,1.8698847
3,Element904,88.97308,0.0,ACVR2B,1.1383462,1.9492587
4,Element905,70.112206,0.0,ACVR2B,0.89703494,1.8457936
5,OR10H2,76.72568,0.0,ACVR2B,0.9816495,1.8849407
6,OR10K1,79.90196,0.0,ACVR2B,1.0222877,1.9025575
7,OR10V1,80.799446,0.0,ACVR2B,1.0337704,1.9074084
8,OR14J1,66.79433,0.0,ACVR2B,0.85458505,1.8247396
9,OR2A2,85.51017,0.0,ACVR2B,1.0940408,1.9320178
10,ACVR2B_P1P2,13.230199,0.0,ACVR2B,0.16927081,1.1215664
11,non-targeting,20.505308,0.0,ADNP2,1.0,1.3118664
12,Element694,20.127785,0.0,ADNP2,0.981589,1.303796
13,Element695,16.264706,0.0,ADNP2,0.7931949,1.2112463
14,Element696,9.139147,0.0,ADNP2,0.44569662,0.9609057
15,Element697,18.934578,0.0,ADNP2,0.92339885,1.2772557
16,Element698,19.963726,0.0,ADNP2,0.9735882,1.3002417
17,Element699,19.57743,0.0,ADNP2,0.9547494,1.2917558
18,OR10H2,21.744904,0.0,ADNP2,1.0604525,1.3373575
19,OR10K1,21.67741,0.0,ADNP2,1.0571609,1.3360075
20,OR10V1,31.77384,0.0,ADNP2,1.5495422,1.5020698
21,OR14J1,22.068424,0.0,ADNP2,1.0762298,1.3437713
22,OR2A2,20.57369,0.0,ADNP2,1.0033349,1.3133123
23,ADNP2_P1P2,4.5023274,0.0,ADNP2,0.21956888,0.6534371
24,non-targeting,164.86522,0.0,AFF4,1.0,2.2171292
25,Element1000,165.82095,0.0,AFF4,1.005797,2.2196395
26,Element1001,163.78152,0.0,AFF4,0.9934268,2.214265
27,Element1002,150.7493,0.0,AFF4,0.914379,2.1782556
28,Element1003,171.75273,0.0,AFF4,1.0417767,2.2349038
29,Element1004,69.653336,0.0,AFF4,0.42248654,1.842942
30,Element1005,153.41011,0.0,AFF4,0.9305183,2.1858542
31,Element1006,163.3499,0.0,AFF4,0.9908087,2.213119
32,OR10H2,171.93698,0.0,AFF4,1.0428942,2.2353694
33,OR10K1,171.19322,0.0,AFF4,1.0383829,2.2334867
34,OR10V1,159.85493,0.0,AFF4,0.9696098,2.2037263
35,OR14J1,163.80594,0.0,AFF4,0.99357486,2.2143297
36,OR2A2,168.95628,0.0,AFF4,1.0248146,2.2277746
37,AFF4_P1P2,55.665234,0.0,AFF4,0.33764085,1.745584
38,non-targeting,15.02243,0.0,BNC1,1.0,1.1767403
39,Element408,11.889888,0.0,BNC1,0.79147565,1.0751778
40,Element409,12.845839,0.0,BNC1,0.8551105,1.1087625
41,Element410,4.5896034,0.0,BNC1,0.3055167,0.6617752
42,Element411,2.7381392,0.0,BNC1,0.18227005,0.43745553
43,Element412,4.3033047,0.0,BNC1,0.2864586,0.6338021
44,OR10H2,11.556877,0.0,BNC1,0.7693081,1.0628405
45,OR10K1,15.52136,0.0,BNC1,1.0332123,1.1909299
46,OR10V1,12.121202,0.0,BNC1,0.8068736,1.0835458
47,OR14J1,19.57409,0.0,BNC1,1.3029908,1.2916816
48,OR2A2,12.899873,0.0,BNC1,0.8587074,1.1105855
49,BNC1_P1P2,4.0456786,0.0,BNC1,0.2693092,0.6069914
50,non-targeting,155.97533,0.0,BPTF,1.0,2.193056
51,Element658,148.90814,0.0,BPTF,0.9546904,2.1729186
52,Element659,110.28585,0.0,BPTF,0.70707244,2.04252
53,Element660,153.37045,0.0,BPTF,0.98329943,2.185742
54,Element661,153.74248,0.0,BPTF,0.9856846,2.186794
55,OR10H2,157.9418,0.0,BPTF,1.0126076,2.1984973
56,OR10K1,152.3885,0.0,BPTF,0.97700393,2.1829524
57,OR10V1,140.63902,0.0,BPTF,0.9016748,2.148106
58,OR14J1,163.14915,0.0,BPTF,1.0459933,2.212585
59,OR2A2,157.49918,0.0,BPTF,1.0097698,2.1972785
60,BPTF_P1P2,71.08307,0.0,BPTF,0.4557328,1.8517662
61,non-targeting,16.01547,0.0,CAMTA2,1.0,1.2045398
62,Element529,13.349676,0.0,CAMTA2,0.8335488,1.1254708
63,Element530,16.681433,0.0,CAMTA2,1.0415825,1.2222334
64,Element531,14.77852,0.0,CAMTA2,0.92276525,1.169631
65,Element532,14.985707,0.0,CAMTA2,0.93570197,1.1756773
66,Element533,14.013127,0.0,CAMTA2,0.8749744,1.1465352
67,Element534,12.672609,0.0,CAMTA2,0.791273,1.102866
68,Element535,12.50319,0.0,CAMTA2,0.78069454,1.0970209
69,Element536,16.27106,0.0,CAMTA2,1.015959,1.2114159
70,Element537,6.266418,0.0,CAMTA2,0.3912728,0.79701936
71,Element538,15.941566,0.0,CAMTA2,0.99538547,1.2025311
72,Element539,15.334431,0.0,CAMTA2,0.95747614,1.1856678
73,Element540,16.980003,0.0,CAMTA2,1.0602251,1.2299378
74,OR10H2,19.8686,0.0,CAMTA2,1.2405881,1.2981673
75,OR10K1,11.369064,0.0,CAMTA2,0.7098801,1.0557247
76,OR10V1,14.814322,0.0,CAMTA2,0.9250008,1.1706818
77,OR14J1,15.460784,0.0,CAMTA2,0.9653656,1.1892315
78,OR2A2,15.036683,0.0,CAMTA2,0.93888485,1.1771522
79,CAMTA2_P1P2,5.93257,0.0,CAMTA2,0.37042746,0.7732429
80,non-targeting,22.500275,0.0,CHAMP1,1.0,1.3521879
81,Element316,21.995531,0.0,CHAMP1,0.97756726,1.3423345
82,Element317,22.769886,0.0,CHAMP1,1.0119826,1.357361
83,Element318,25.336628,0.0,CHAMP1,1.1260586,1.4037489
84,Element319,22.17823,0.0,CHAMP1,0.9856871,1.345927
85,Element320,19.830725,0.0,CHAMP1,0.8813548,1.2973386
86,Element321,12.081485,0.0,CHAMP1,0.5369483,1.0821204
87,OR10H2,20.429846,0.0,CHAMP1,0.90798205,1.3102652
88,OR10K1,18.868383,0.0,CHAMP1,0.8385846,1.2757348
89,OR10V1,19.323181,0.0,CHAMP1,0.85879755,1.2860787
90,OR14J1,27.037409,0.0,CHAMP1,1.201648,1.4319651
91,OR2A2,19.45738,0.0,CHAMP1,0.8647619,1.2890844
92,CHAMP1_P1P2,2.1613154,0.0,CHAMP1,0.09605729,0.33471817
93,non-targeting,134.20059,0.0,CHD7,1.0,2.1277547
94,Element1201,136.1015,0.0,CHD7,1.0141647,2.1338632
95,Element1202,149.46335,0.0,CHD7,1.1137309,2.1745348
96,Element1203,135.74745,0.0,CHD7,1.0115265,2.132732
97,Element1204,130.79182,0.0,CHD7,0.9745995,2.1165807
98,Element1205,143.16212,0.0,CHD7,1.0667771,2.1558282
99,Element1206,138.844,0.0,CHD7,1.0346005,2.1425273
100,Element1207,127.927635,0.0,CHD7,0.95325685,2.1069646
101,Element1208,133.259,0.0,CHD7,0.9929837,2.1246967
102,Element1209,126.131165,0.0,CHD7,0.9398704,2.1008227
103,Element1210,132.5475,0.0,CHD7,0.9876819,2.1223717
104,Element1211,131.46867,0.0,CHD7,0.97964305,2.1188226
105,OR10H2,146.8659,0.0,CHD7,1.094376,2.1669211
106,OR10K1,135.142,0.0,CHD7,1.0070149,2.1307905
107,OR10V1,139.21466,0.0,CHD7,1.0373625,2.143685
108,OR14J1,134.625,0.0,CHD7,1.0031625,2.1291258
109,OR2A2,135.36002,0.0,CHD7,1.0086395,2.1314905
110,CHD7_P1P2,121.412,0.0,CHD7,0.9047054,2.084262
111,non-targeting,369.93787,307.03104,CNBP,1.0,2.5681288
112,Element919,361.80344,297.61905,CNBP,0.97801137,2.5584729
113,Element920,369.02002,300.21008,CNBP,0.9975189,2.56705
114,Element921,350.37646,285.1847,CNBP,0.94712245,2.5445352
115,Element922,374.12598,317.40997,CNBP,1.0113211,2.573018
116,Element923,343.0668,277.1619,CNBP,0.92736334,2.5353787
117,Element924,369.49442,304.971,CNBP,0.9988013,2.5676079
118,Element925,132.64426,0.0,CNBP,0.3585582,2.1226885
119,Element926,369.51508,299.40118,CNBP,0.99885714,2.5676322
120,Element927,358.54556,280.66235,CNBP,0.96920484,2.5545444
121,Element928,364.71472,295.37732,CNBP,0.98588103,2.5619533
122,Element929,363.55237,298.0626,CNBP,0.982739,2.5605671
123,Element930,352.32758,290.95203,CNBP,0.95239663,2.5469468
124,Element931,369.0277,302.20618,CNBP,0.9975397,2.567059
125,OR10H2,368.8044,307.1087,CNBP,0.9969361,2.5667963
126,OR10K1,365.9498,298.77515,CNBP,0.9892196,2.5634217
127,OR10V1,365.75058,304.69223,CNBP,0.98868114,2.5631852
128,OR14J1,345.81635,280.1121,CNBP,0.93479574,2.5388455
129,OR2A2,382.47134,321.85385,CNBP,1.03388,2.582599
130,CNBP_P1P2,98.03754,0.0,CNBP,0.2650108,1.9913926
131,non-targeting,91.64902,0.0,CREBBP,1.0,1.9621278
132,Element468,85.02282,0.0,CREBBP,0.9277003,1.9295355
133,Element469,88.60325,0.0,CREBBP,0.966767,1.9474497
134,Element470,86.49346,0.0,CREBBP,0.94374675,1.9369833
135,Element471,86.969,0.0,CREBBP,0.94893545,1.9393646
136,Element472,76.90361,0.0,CREBBP,0.83911,1.8859468
137,Element473,89.882034,0.0,CREBBP,0.9807201,1.9536729
138,Element474,90.15221,0.0,CREBBP,0.983668,1.9549764
139,Element475,96.88017,0.0,CREBBP,1.0570781,1.9862351
140,OR10H2,93.57156,0.0,CREBBP,1.0209773,1.971144
141,OR10K1,86.773575,0.0,CREBBP,0.9468031,1.9383875
142,OR10V1,86.16923,0.0,CREBBP,0.940209,1.9353522
143,OR14J1,109.74707,0.0,CREBBP,1.1974714,2.040393
144,OR2A2,91.37564,0.0,CREBBP,0.99701715,1.9608305
145,CREBBP_P1P2,61.05575,0.0,CREBBP,0.66619104,1.7857267
146,non-targeting,0.4745913,0.0,EOMES,1.0,-0.32368022
