,index,expression_mean,expression_median,target_gene,expression_mean_norm,expression_mean_log10
191,non-targeting,0.0020179152,0.0,FOXD3,1.0,-2.6950972
199,non-targeting,0.0020179152,0.0,FOXD3,1.0,-2.6950972
1171,non-targeting,0.09812799,0.0,TFAP2C,1.0,-1.0082071
1479,non-targeting,0.09832282,0.0,ZSCAN10,1.0,-1.0073457
347,non-targeting,0.12155037,0.0,IKZF1,1.0,-0.91524374
1039,non-targeting,0.15221387,0.0,SOX10,1.0,-0.8175458
146,non-targeting,0.4745913,0.0,EOMES,1.0,-0.32368022
740,non-targeting,0.69325596,0.0,OVOL1,1.0,-0.1591064
1318,non-targeting,3.7238355,0.0,ZIC5,1.0,0.5709905
464,non-targeting,3.8398511,0.0,LZTS1,1.0,0.5843144
1367,non-targeting,4.861626,0.0,ZNF425,1.0,0.6867816
1328,non-targeting,5.1227293,0.0,ZNF20,1.0,0.70950145
587,non-targeting,6.2407327,0.0,MESP1,1.0,0.7952356
1153,non-targeting,8.150786,0.0,TCF7,1.0,0.9111995
175,non-targeting,8.931784,0.0,FOXC1,1.0,0.9509382
422,non-targeting,10.032076,0.0,L3MBTL3,1.0,1.0013908
1255,non-targeting,10.593093,0.0,ZBTB12,1.0,1.0250227
447,non-targeting,10.702911,0.0,LZTR1,1.0,1.0295019
1425,non-targeting,11.544539,0.0,ZNF649,1.0,1.0623766
1086,non-targeting,14.795815,0.0,TAF5L,1.0,1.170139
38,non-targeting,15.02243,0.0,BNC1,1.0,1.1767403
1183,non-targeting,15.833925,0.0,TFAP4,1.0,1.1995887
61,non-targeting,16.01547,0.0,CAMTA2,1.0,1.2045398
1289,non-targeting,17.866789,0.0,ZC3H3,1.0,1.2520466
1389,non-targeting,20.444948,0.0,ZNF436,1.0,1.3105861
11,non-targeting,20.505308,0.0,ADNP2,1.0,1.3118664
480,non-targeting,21.391685,0.0,MBD6,1.0,1.330245
80,non-targeting,22.500275,0.0,CHAMP1,1.0,1.3521879
809,non-targeting,22.863714,0.0,PCGF6,1.0,1.3591468
1440,non-targeting,26.432837,0.0,ZNF787,1.0,1.4221438
850,non-targeting,27.035292,0.0,PLAGL2,1.0,1.4319311
890,non-targeting,27.806181,0.0,RARA,1.0,1.4441414
863,non-targeting,27.806181,0.0,RARA,1.0,1.4441414
1408,non-targeting,28.703423,0.0,ZNF460,1.0,1.4579338
1345,non-targeting,29.41806,0.0,ZNF384,1.0,1.4686141
1213,non-targeting,32.919273,0.0,THOC6,1.0,1.5174503
380,non-targeting,34.01162,0.0,KAT7,1.0,1.5316274
1243,non-targeting,34.815403,0.0,ZBTB10,1.0,1.5417715
536,non-targeting,37.70641,0.0,MEF2D,1.0,1.5764153
952,non-targeting,39.796616,0.0,RNF2,1.0,1.5998462
787,non-targeting,40.59412,0.0,PCGF2,1.0,1.6084633
1059,non-targeting,42.0972,0.0,SOX11,1.0,1.6242533
315,non-targeting,42.426876,0.0,HMG20A,1.0,1.6276412
358,non-targeting,42.81651,0.0,ISL1,1.0,1.6316113
331,non-targeting,49.863438,0.0,HOXB4,1.0,1.6977823
962,non-targeting,50.09681,0.0,SMAD3,1.0,1.6998101
836,non-targeting,54.898827,0.0,PITX2,1.0,1.7395631
207,non-targeting,63.143333,0.0,FOXH1,1.0,1.8003275
927,non-targeting,65.107025,0.0,RCOR2,1.0,1.8136278
766,non-targeting,66.10338,0.0,PBX2,1.0,1.8202237
599,non-targeting,66.60544,0.0,MTF2,1.0,1.8235097
995,non-targeting,72.49665,0.0,SMAD5,1.0,1.860318
1457,non-targeting,74.07949,0.0,ZNF814,1.0,1.869698
558,non-targeting,77.85642,0.0,MEIS1,1.0,1.8912945
0,non-targeting,78.15995,0.0,ACVR2B,1.0,1.8929843
160,non-targeting,79.72129,0.0,EP300,1.0,1.9015744
982,non-targeting,85.30901,0.0,SMAD4,1.0,1.930995
696,non-targeting,86.10984,0.0,MYRF,1.0,1.9350528
670,non-targeting,86.10984,0.0,MYRF,1.0,1.9350528
131,non-targeting,91.64902,0.0,CREBBP,1.0,1.9621278
1116,non-targeting,97.559044,0.0,TBX2,1.0,1.9892677
1279,non-targeting,107.98658,0.0,ZC3H15,1.0,2.03337
1004,non-targeting,113.00633,0.0,SMAD6,1.0,2.053103
824,non-targeting,113.95385,0.0,PIN1,1.0,2.056729
410,non-targeting,117.38408,0.0,KLF12,1.0,2.0696094
93,non-targeting,134.20059,0.0,CHD7,1.0,2.1277547
917,non-targeting,137.16446,0.0,RBPJ,1.0,2.1372418
