,num_valid_gRNA,pearson_r,expression_range,exp_0,exp_1,lin_0,lin_1,err_exp,err_lin,err_exp/lin
ACVR2B,17.0,-0.1981086907410343,0.7764264941215515,106699.92404435443,0.0002666355531270386,-11.964407664099117,10.59597552000629,3790.7985893879722,54670877699.29319,6.933853541255624e-08
ADNP2,38.0,-0.14705133784763785,0.8947283029556274,129112.99405289354,0.0002938573012019136,-13.18701977557046,15.971862148117392,20266.46470001058,189897771287.26227,1.0672302556596666e-07
AFF4,28.0,-0.10505799247749702,0.7550793141126633,220901.84236426093,0.00015894900052970746,-7.738645778173585,17.222203889745384,7792.2420638059375,371311797746.262,2.0985710960713425e-08
BMPR2,5.0,-0.3523878017962836,0.2749897241592407,48347.358295456776,0.0015468935953030305,-79.316160262547,-2.0695163398971337,3324.4522606292853,2359926399.6219983,1.4087101450120565e-06
BNC1,41.0,-0.021248188656904317,0.83012855052948,97561.52078316435,0.00030913316206912056,-7.139658863228517,17.52121511583879,15469.973961909534,202889453067.38318,7.624829052484893e-08
BPTF,13.0,-0.38400725666777163,0.7204670011997223,35933.414287798856,0.0012497873619105506,-30.081451539578897,6.612064188560522,2457.0804730780383,2324370726.0292735,1.0570949141471391e-06
CAMTA2,53.0,-0.31053539303268357,0.8371152020990849,127391.46731181088,0.00034653698683491347,-27.669553324357242,8.659069161018035,17347.939597053384,184870814398.5311,9.383817371873504e-08
CDX2,9.0,-0.26930298905467387,0.857532799243927,27.424814894831073,0.6927223756899168,-27.91331416610015,-0.522648236611311,6855.125145159922,30335.900557806708,0.22597401162022893
CHAMP1,22.0,-0.7279285719707856,0.8981122970581055,39386.306293511894,0.0008342401572980291,-32.33594591168152,0.38186821841362384,1911.441114094334,13207860561.612658,1.4471996468903895e-07
CHD7,20.0,-0.5628185865040929,0.3010563850402832,16.839980430761415,4.501048072332949,-229.0733396162338,-18.495107695737442,16407.99883145562,34992.365700188835,0.4689022449078679
CITED2,5.0,-0.02225165800980705,0.3572077825665474,89781.32860330002,0.0004972213687929421,-37.674828838196284,5.266034722810624,1716.1046202354955,22079810455.38836,7.772279674695745e-08
