,gRNA_name,expression,relative_expression,edist,cell_num,target_gene
0,non-targeting,19.26735378892772,1.0,0.0,20000,ADNP2
1,ADNP2_-_77867536.23-P1P2-1,2.0956276785000227,0.10876572369290832,29.644775390625,64,ADNP2
2,ADNP2_-_77867536.23-P1P2-2,3.985874294831427,0.20687191082368409,27.7103271484375,388,ADNP2
3,ADNP2_-_77867648.23-P1P2-2,0.0,0.0,55.5631103515625,73,ADNP2
4,non-targeting,154.26283635933942,1.0,0.0,20000,AFF4
5,AFF4_-_132299252.23-P1P2-1,6.272064368844171,0.0406582979858742,25.3135986328125,81,AFF4
6,AFF4_-_132299252.23-P1P2-2,38.02619226600813,0.2465026130949001,28.171142578125,115,AFF4
7,AFF4_-_132299279.23-P1P2-1,8.601992010967695,0.05576192045976802,14.8804931640625,504,AFF4
8,AFF4_-_132299279.23-P1P2-2,26.82246297267796,0.173875079738569,22.856689453125,79,AFF4
9,AFF4_-_132299282.23-P1P2-1,3.1995701622555024,0.020741030294570965,11.685546875,221,AFF4
10,AFF4_-_132299282.23-P1P2-2,136.57922224933031,0.8853669845093672,7.6224365234375,371,AFF4
11,non-targeting,193.601558699811,1.0,0.0,20000,AHCY
12,AHCY_-_32890731.23-P1P2-1,19.336292731437695,0.09987674097923764,19.5797119140625,405,AHCY
13,AHCY_-_32891095.23-P1P2-1,29.125041544682823,0.15043805297994875,31.35888671875,148,AHCY
14,AHCY_-_32891095.23-P1P2-2,15.614801775561371,0.08065431849013628,8.616455078125,136,AHCY
15,AHCY_-_32891145.23-P1P2-1,3.347367406730531,0.017289981698550234,28.2332763671875,101,AHCY
16,AHCY_-_32891145.23-P1P2-2,16.86607421077262,0.08711745052075909,8.69140625,248,AHCY
17,non-targeting,44.32104354509647,1.0,0.0,20000,AHDC1
18,AHDC1_+_27930650.23-P1P2-1,0.0,0.0,106.082763671875,32,AHDC1
19,AHDC1_+_27930650.23-P1P2-2,29.99585824621069,0.6767859203425577,94.9852294921875,41,AHDC1
20,AHDC1_+_27930669.23-P1P2-1,15.38567200689365,0.34714146545847446,28.19189453125,132,AHDC1
21,AHDC1_-_27930702.23-P1P2-1,25.959204762212693,0.5857083382028068,85.89111328125,31,AHDC1
22,AHDC1_-_27930702.23-P1P2-2,23.865000541475645,0.5384575504679422,46.755126953125,103,AHDC1
23,non-targeting,1.5503194314078428,1.0,0.0,20000,AR
24,AR_+_66763866.23-P1P2-1,0.0,0.0,9.9698486328125,127,AR
25,AR_+_66764242.23-P1P2-2,0.0,0.0,24.9970703125,319,AR
26,AR_-_66763912.23-P1P2-2,0.0,0.0,41.802734375,87,AR
27,non-targeting,96.2475948213978,1.0,0.0,20000,ARID2
28,ARID2_+_46123494.23-P1P2-1,23.23740262392105,0.24143359288137664,33.1134033203125,255,ARID2
29,ARID2_-_46123531.23-P1P2-1,25.22874398666442,0.2621233708071379,28.1075439453125,234,ARID2
30,ARID2_-_46123531.23-P1P2-2,79.5847784805422,0.8268755040395969,48.331787109375,33,ARID2
31,ARID2_-_46123742.23-P1P2-2,7.07351782565779,0.07349293079773879,44.6834716796875,71,ARID2
32,non-targeting,101.223556082914,1.0,0.0,20000,ARID3A
33,ARID3A_-_926022.23-P1P2-2,14.304498954553448,0.14131591013100134,25.81494140625,243,ARID3A
34,ARID3A_-_926435.23-P1P2-1,47.421750558506965,0.46848532489476036,13.2236328125,350,ARID3A
35,ARID3A_-_926435.23-P1P2-2,67.14603488730705,0.663343963457543,80.7064208984375,34,ARID3A
36,non-targeting,52.97983901564294,1.0,0.0,20000,ARID3B
37,ARID3B_-_74833690.23-P1P2-1,52.92830831857155,0.999027352705693,56.8153076171875,46,ARID3B
38,ARID3B_-_74833690.23-P1P2-2,38.07993528535523,0.718762759435937,15.842529296875,141,ARID3B
39,ARID3B_-_74833855.23-P1P2-1,36.40708652505231,0.6871875642034827,29.5313720703125,62,ARID3B
40,ARID3B_-_74833855.23-P1P2-2,22.63210384019961,0.42718332597268194,15.6890869140625,105,ARID3B
41,ARID3B_-_74833936.23-P1P2-1,34.57664036121267,0.6526377015038399,46.881591796875,79,ARID3B
42,ARID3B_-_74833936.23-P1P2-2,23.779837363235856,0.44884691620551304,14.602294921875,128,ARID3B
43,non-targeting,128.36116724411113,1.0,0.0,20000,ARID4B
44,ARID4B_+_235491249.23-P1P2-1,36.915859709552024,0.2875936741783222,44.5616455078125,152,ARID4B
45,ARID4B_+_235491249.23-P1P2-2,35.49618081056646,0.27653363998366826,35.34130859375,70,ARID4B
46,ARID4B_+_235491464.23-P1P2-2,24.820135805901945,0.19336171786830356,30.4285888671875,51,ARID4B
47,ARID4B_-_235491110.23-P1P2-1,62.787664091956685,0.4891484351536794,34.269287109375,64,ARID4B
48,ARID4B_-_235491110.23-P1P2-2,69.47017138574867,0.5412086293484198,14.2418212890625,72,ARID4B
49,non-targeting,35.113912740780506,1.0,0.0,20000,ARNT
50,ARNT_+_150848808.23-P1P2-2,4.527890525141757,0.12894861813229852,26.13525390625,142,ARNT
51,ARNT_+_150849006.23-P1P2-1,1.1385734548531874,0.032425137672876705,47.0479736328125,279,ARNT
52,ARNT_+_150849017.23-P1P2-1,1.923306197650061,0.05477333761829329,65.3179931640625,178,ARNT
53,ARNT_+_150849017.23-P1P2-2,1.5089924060059396,0.04297420276531672,54.8487548828125,178,ARNT
54,non-targeting,19.67003330864827,1.0,0.0,20000,ATMIN
55,ATMIN_+_81069685.23-P1P2-1,0.0,0.0,97.061279296875,64,ATMIN
56,ATMIN_+_81069786.23-P1P2-1,6.355056856674227,0.32308317718405266,30.144287109375,55,ATMIN
57,non-targeting,20.121100988035323,1.0,0.0,20000,ATXN7
58,ATXN7_+_63898186.23-ENST00000538065.1-1,24.69080343015615,1.2271099600781352,8.640625,272,ATXN7
59,ATXN7_+_63898186.23-ENST00000538065.1-2,19.123586442707698,0.950424455107065,58.332275390625,123,ATXN7
60,ATXN7_-_63850049.23-ENST00000398590.3-1,66.4071412757039,3.3003731413699384,52.7012939453125,35,ATXN7
61,ATXN7_-_63850058.23-ENST00000398590.3-1,7.090475115197877,0.35239001679948373,32.418212890625,73,ATXN7
62,ATXN7_-_63850058.23-ENST00000398590.3-2,20.960543290279883,1.0417195014698113,36.8504638671875,194,ATXN7
63,ATXN7_-_63850240.23-ENST00000398590.3-1,14.939526348219564,0.7424805609346677,29.8125,90,ATXN7
64,ATXN7_-_63850240.23-ENST00000398590.3-2,24.714258126385342,1.2282756366603031,26.0931396484375,44,ATXN7
65,ATXN7_-_63898461.23-ENST00000538065.1-2,16.6296663475364,0.8264789465260849,25.8955078125,66,ATXN7
66,ATXN7_-_63898568.23-ENST00000538065.1-1,15.699099754477826,0.7802306525777607,12.283447265625,113,ATXN7
67,non-targeting,26.162739931896795,1.0,0.0,20000,BNC1
68,BNC1_+_83953391.23-P1P2-1,1.6983847105665681,0.06491616378817995,8.15673828125,488,BNC1
69,BNC1_-_83953180.23-P1P2-1,36.21218496553557,1.384112866610993,32.651611328125,87,BNC1
70,BNC1_-_83953180.23-P1P2-2,0.0,0.0,31.4381103515625,184,BNC1
71,BNC1_-_83953421.23-P1P2-1,2.093153622798083,0.08000513815627451,10.2904052734375,166,BNC1
72,BNC1_-_83953421.23-P1P2-2,1.44257692078159,0.05513860262865073,18.94580078125,244,BNC1
73,non-targeting,70.82550053237355,1.0,0.0,20000,BOLA3
74,BOLA3_+_74374593.23-P1P2-1,3.9966153802678868,0.0564290453329176,21.888671875,85,BOLA3
75,BOLA3_+_74374593.23-P1P2-2,17.797271963596966,0.2512833912901474,11.6878662109375,240,BOLA3
76,BOLA3_+_74374821.23-P1P2-1,8.199878996520331,0.11577580016920963,13.918701171875,165,BOLA3
77,BOLA3_+_74374821.23-P1P2-2,11.690039116860435,0.1650540981565961,32.1014404296875,97,BOLA3
78,BOLA3_-_74375058.23-P1P2-1,2.1384654100984335,0.03019343871944773,18.212158203125,125,BOLA3
79,BOLA3_-_74375058.23-P1P2-2,23.05500442162156,0.3255184114241928,20.9822998046875,50,BOLA3
80,non-targeting,170.19155667803716,1.0,0.0,20000,BPTF
81,BPTF_+_65821601.23-P1P2-2,49.94815420129746,0.2934819751122422,29.490234375,218,BPTF
82,BPTF_+_65821705.23-P1P2-1,112.40043559001158,0.6604348522567842,45.471923828125,59,BPTF
83,BPTF_+_65821705.23-P1P2-2,61.218562577070365,0.3597038758678355,31.820068359375,167,BPTF
84,BPTF_-_65821667.23-P1P2-1,120.1330323685677,0.7058695196955713,30.851318359375,130,BPTF
85,non-targeting,8.749750779497845,1.0,0.0,20000,BRPF1
86,BRPF1_+_9773474.23-P1P2-2,0.0,0.0,88.6129150390625,61,BRPF1
87,BRPF1_-_9773923.23-P1P2-1,0.0,0.0,46.0601806640625,85,BRPF1
88,non-targeting,12.254415811912622,1.0,0.0,20000,CAMTA2
89,CAMTA2_+_4890889.23-P1P2-1,2.9126075278069323,0.23767820290344333,23.9925537109375,141,CAMTA2
90,CAMTA2_+_4890889.23-P1P2-2,0.0,0.0,124.8795166015625,51,CAMTA2
91,CAMTA2_-_4890571.23-P1P2-2,14.110628645709259,1.1514729761325868,56.227783203125,59,CAMTA2
92,non-targeting,12.948884329125576,1.0,0.0,20000,CDK2
93,CDK2_-_56360602.23-P1P2-1,4.697747748625809,0.36279169920911963,31.650146484375,73,CDK2
94,CDK2_-_56360602.23-P1P2-2,0.0,0.0,34.5347900390625,106,CDK2
95,CDK2_-_56360608.23-P1P2-2,3.729673335328698,0.2880304774164709,79.2744140625,40,CDK2
96,CDK2_-_56360688.23-P1P2-1,1.271100336452946,0.09816292308626885,29.4324951171875,160,CDK2
97,non-targeting,0.40786711251712404,1.0,0.0,20000,CDX1
98,CDX1_+_149546553.23-P1P2-2,0.0,0.0,29.0128173828125,251,CDX1
99,CDX1_-_149546360.23-P1P2-1,0.0,0.0,55.4569091796875,82,CDX1
100,CDX1_-_149546360.23-P1P2-2,0.0,0.0,11.014892578125,181,CDX1
101,CDX1_-_149546625.23-P1P2-2,0.0,0.0,6.259765625,232,CDX1
102,non-targeting,9.70082486346655,1.0,0.0,20000,CENPS
103,APITD1_+_10491041.23-P1P2-1,0.0,0.0,16.0576171875,119,CENPS
104,APITD1_+_10491041.23-P1P2-2,1.476982810934612,0.15225332193110205,4.1422119140625,284,CENPS
105,APITD1_-_10490820.23-P1P2-1,0.0,0.0,8.7623291015625,284,CENPS
106,APITD1_-_10490820.23-P1P2-2,0.0,0.0,24.3272705078125,95,CENPS
107,APITD1_-_10490853.23-P1P2-1,4.578754929493049,0.47199645328478274,5.240966796875,112,CENPS
108,APITD1_-_10490853.23-P1P2-2,0.5151926799092172,0.05310813123216362,10.796630859375,608,CENPS
109,non-targeting,26.73585076154268,1.0,0.0,20000,CHAMP1
110,CHAMP1_+_115079819.23-P1P2-1,7.6948772678433945,0.2878111991450761,16.4466552734375,165,CHAMP1
111,CHAMP1_+_115079819.23-P1P2-2,2.6528251540376306,0.09922351742976893,43.9676513671875,271,CHAMP1
112,CHAMP1_+_115080003.23-P1P2-1,3.617434322927869,0.13530275715524456,75.2972412109375,258,CHAMP1
113,CHAMP1_+_115080003.23-P1P2-2,0.7961130483163913,0.02977698579397871,79.416748046875,233,CHAMP1
114,CHAMP1_-_115080021.23-P1P2-1,4.744823225057469,0.17747044099612147,43.6787109375,78,CHAMP1
115,CHAMP1_-_115080021.23-P1P2-2,1.4432760132155542,0.05398279733411693,42.7506103515625,116,CHAMP1
116,non-targeting,111.85495272948174,1.0,0.0,20000,CHD7
117,CHD7_-_61591421.23-P1P2-1,147.47552367308262,1.3184532296012703,25.2110595703125,66,CHD7
118,CHD7_-_61591421.23-P1P2-2,102.19770465974344,0.9136627584735197,122.7061767578125,370,CHD7
119,CHD7_-_61591579.23-P1P2-1,75.67021697662904,0.676503052659952,8.9227294921875,337,CHD7
120,CHD7_-_61591641.23-P1P2-1,79.60829887843066,0.7117100936152665,8.571044921875,809,CHD7
121,CHD7_-_61591641.23-P1P2-2,118.09044457657043,1.0557462293347804,60.1136474609375,34,CHD7
122,non-targeting,462.1105964670278,1.0,0.0,20000,CNBP
123,CNBP_+_128902710.23-P1P2-1,462.1266637384127,1.0000347693203915,4.590576171875,336,CNBP
124,CNBP_-_128902518.23-P1P2-2,21.154177097958467,0.045777303657800555,20.6151123046875,210,CNBP
125,CNBP_-_128902692.23-P1P2-1,32.65827089187882,0.07067198013107893,10.39404296875,265,CNBP
126,CNBP_-_128902692.23-P1P2-2,54.61086263857254,0.11817704042298259,18.4140625,519,CNBP
127,non-targeting,0.6415106712665875,1.0,0.0,20000,CPEB1
128,CPEB1_-_83316356.23-ENST00000568128.1-1,0.0,0.0,17.8197021484375,231,CPEB1
129,CPEB1_-_83316356.23-ENST00000568128.1-2,0.0,0.0,24.7672119140625,242,CPEB1
130,CPEB1_-_83316370.23-ENST00000568128.1-1,1.9069404132958305,2.972577852104628,60.9847412109375,95,CPEB1
131,CPEB1_-_83316611.23-ENST00000568128.1-1,0.0,0.0,15.058349609375,70,CPEB1
132,CPEB1_-_83316611.23-ENST00000568128.1-2,0.0,0.0,8.5784912109375,205,CPEB1
133,non-targeting,20.87047882778279,1.0,0.0,20000,CRAMP1
134,CRAMP1L_+_1664225.23-P2-1,3.1492753524442194,0.15089617149808288,28.8251953125,359,CRAMP1
135,CRAMP1L_+_1664225.23-P2-2,29.361856478835985,1.406860701238415,28.71826171875,121,CRAMP1
136,CRAMP1L_+_1664374.23-P2-2,7.552242829676783,0.3618624609428335,40.027587890625,57,CRAMP1
137,CRAMP1L_-_1662404.23-P1-1,16.624112765345238,0.7965371998660238,13.7216796875,115,CRAMP1
138,CRAMP1L_-_1662404.23-P1-2,31.58695180900395,1.5134751851958177,6.1607666015625,220,CRAMP1
139,CRAMP1L_-_1662407.23-P1-1,36.89319888625534,1.7677217274547194,153.30126953125,31,CRAMP1
140,CRAMP1L_-_1662407.23-P1-2,29.671089386714524,1.4216774627717863,63.863525390625,38,CRAMP1
141,CRAMP1L_-_1662423.23-P1-2,29.965664267634835,1.4357918912595589,18.7720947265625,108,CRAMP1
142,CRAMP1L_-_1664232.23-P2-1,23.408432618318194,1.1216049622760393,25.9031982421875,162,CRAMP1
143,non-targeting,63.74725712958025,1.0,0.0,20000,CREBBP
144,CREBBP_-_3930644.23-P1P2-2,20.478407907742827,0.3212437496113124,31.72412109375,124,CREBBP
145,CREBBP_-_3930696.23-P1P2-1,31.939099065565358,0.5010270324359549,16.1651611328125,244,CREBBP
146,CREBBP_-_3930696.23-P1P2-2,30.901949180083143,0.4847573146130534,56.015380859375,117,CREBBP
147,non-targeting,15.649733434111113,1.0,0.0,20000,CSRNP2
148,CSRNP2_+_51477349.23-P1P2-1,11.132789077237248,0.7113724412053909,33.23876953125,175,CSRNP2
149,CSRNP2_+_51477359.23-P1P2-2,0.0,0.0,11.757080078125,98,CSRNP2
150,non-targeting,62.22429244880914,1.0,0.0,20000,CTBP1
151,CTBP1_+_1242702.23-P1P2-1,8.859764255413955,0.14238433105049336,38.5257568359375,66,CTBP1
152,CTBP1_-_1242749.23-P1P2-1,27.79810513501339,0.4467403973758708,14.9832763671875,276,CTBP1
153,non-targeting,22.40644032590353,1.0,0.0,20000,DAXX
154,DAXX_+_33288167.23-P2-1,39.274571853249135,1.7528251378620268,10.6746826171875,112,DAXX
155,DAXX_+_33288167.23-P2-2,6.842218191685299,0.305368371421996,32.5050048828125,104,DAXX
156,DAXX_+_33290668.23-P1-2,11.413961550579431,0.5094053934744839,7.1351318359375,187,DAXX
157,DAXX_-_33288181.23-P2-1,9.48711167438887,0.4234100346328129,70.5936279296875,40,DAXX
158,DAXX_-_33288184.23-P2-1,21.038305118402587,0.9389400909916388,18.0684814453125,94,DAXX
159,DAXX_-_33288184.23-P2-2,20.22963006446069,0.9028489028252165,24.67919921875,54,DAXX
160,non-targeting,149.88640017691068,1.0,0.0,20000,DEK
161,DEK_+_18264558.23-P1P2-1,15.191643913754096,0.10135438502641615,15.217041015625,156,DEK
162,DEK_+_18264687.23-P1P2-1,10.93757600756362,0.07297243775722158,11.399169921875,141,DEK
163,DEK_+_18264687.23-P1P2-2,0.0,0.0,42.57470703125,58,DEK
164,DEK_+_18264707.23-P1P2-1,12.938643387732569,0.08632299776671605,19.5203857421875,61,DEK
165,DEK_+_18264707.23-P1P2-2,20.802710757695365,0.1387898483994676,37.9893798828125,98,DEK
166,non-targeting,0.07484249508706853,1.0,0.0,20000,DLX2
167,DLX2_+_172967459.23-P1P2-1,0.0,0.0,22.8084716796875,31,DLX2
168,DLX2_+_172967459.23-P1P2-2,0.0,0.0,67.02001953125,53,DLX2
169,DLX2_-_172966922.23-P1P2-1,0.0,0.0,26.3438720703125,51,DLX2
170,DLX2_-_172966922.23-P1P2-2,0.0,0.0,12.7777099609375,79,DLX2
171,DLX2_-_172967613.23-P1P2-2,0.0,0.0,60.5494384765625,101,DLX2
172,non-targeting,88.37635619947832,1.0,0.0,20000,DNAJC19
173,DNAJC19_C,13.866351564193808,0.15690114596822063,18.0147705078125,472,DNAJC19
174,non-targeting,36.60594421962742,1.0,0.0,20000,DNTTIP1
175,DNTTIP1_+_44421083.23-P1P2-2,6.3024462077818395,0.17217002162185963,169.7930908203125,36,DNTTIP1
176,DNTTIP1_-_44420656.23-P1P2-1,3.9401688541949946,0.1076374052955681,19.2591552734375,136,DNTTIP1
177,DNTTIP1_-_44420656.23-P1P2-2,0.0,0.0,53.741943359375,82,DNTTIP1
178,DNTTIP1_-_44420698.23-P1P2-2,10.377460421295837,0.28349112808109556,48.5797119140625,40,DNTTIP1
179,non-targeting,48.8807477933733,1.0,0.0,20000,DOT1L
180,DOT1L_+_2164403.23-P1P2-1,5.8520058898822125,0.11972005654699827,69.1436767578125,115,DOT1L
181,DOT1L_-_2164187.23-P1P2-1,10.208620201760473,0.2088474637277223,93.9515380859375,52,DOT1L
182,non-targeting,22.637372714780213,1.0,0.0,20000,ELMSAN1
183,ELMSAN1_+_74226762.23-P1-1,25.127645474984437,1.1100071457752823,8.0526123046875,111,ELMSAN1
184,ELMSAN1_+_74253646.23-P2-1,25.04851177541746,1.1065114353602963,70.0198974609375,45,ELMSAN1
185,ELMSAN1_-_74226877.23-P1-1,13.44133651495647,0.5937675137618978,28.3480224609375,67,ELMSAN1
186,ELMSAN1_-_74226927.23-P1-2,11.448019089315224,0.5057132394980038,10.8775634765625,135,ELMSAN1
187,ELMSAN1_-_74253836.23-P2-1,11.004914280679909,0.486139200839975,17.9136962890625,224,ELMSAN1
188,ELMSAN1_-_74253843.23-P2-2,12.418455214153022,0.5485820006861867,55.0919189453125,43,ELMSAN1
189,non-targeting,29.359986555937212,1.0,0.0,20000,ELOA
190,TCEB3_+_24070337.23-P1P2-1,5.220691204671092,0.17781653934767752,18.54150390625,149,ELOA
191,TCEB3_+_24070337.23-P1P2-2,5.960621357397095,0.20301853156645028,11.515625,228,ELOA
192,TCEB3_-_24069975.23-P1P2-1,18.896918439114575,0.6436283069514287,19.9342041015625,170,ELOA
193,TCEB3_-_24069975.23-P1P2-2,9.723559318321842,0.3311840521383186,16.857421875,502,ELOA
194,TCEB3_-_24070008.23-P1P2-1,9.025907977299747,0.307422074601547,29.51220703125,101,ELOA
195,non-targeting,0.1610882711247541,1.0,0.0,20000,EOMES
196,EOMES_+_27763326.23-P1P2-1,0.0,0.0,135.4356689453125,41,EOMES
197,non-targeting,68.177616995672,1.0,0.0,20000,EP300
198,EP300_+_41487729.23-P1P2-1,45.72591516501611,0.6706880818072426,28.762939453125,82,EP300
199,EP300_+_41487729.23-P1P2-2,34.97844977778391,0.513048876143682,33.2760009765625,111,EP300
200,EP300_+_41488885.23-P1P2-1,69.28270350296148,1.0162089341925757,9.323486328125,114,EP300
201,EP300_+_41488885.23-P1P2-2,48.95831709413716,0.7180995648065126,39.0682373046875,89,EP300
202,EP300_-_41487921.23-P1P2-2,27.569041618414264,0.40437086001648287,34.365966796875,92,EP300
203,non-targeting,50.26340703916503,1.0,0.0,20000,ESRRA
204,ESRRA_+_64073044.23-P1P2-1,9.143852540070103,0.1819186775967107,11.20703125,336,ESRRA
205,ESRRA_+_64073044.23-P1P2-2,27.470336968012123,0.5465275552571944,30.4847412109375,118,ESRRA
206,ESRRA_-_64073077.23-P1P2-1,5.568576577614027,0.11078788537504065,9.9136962890625,436,ESRRA
207,ESRRA_-_64073084.23-P1P2-2,0.0,0.0,20.9093017578125,60,ESRRA
208,non-targeting,6.145792691677343,1.0,0.0,20000,ETS1
209,ETS1_+_128392044.23-P1P2-1,4.4030447902766685,0.7164323645734568,6.936767578125,667,ETS1
210,ETS1_-_128391812.23-P1P2-2,3.0516944944814552,0.4965501844235768,14.0902099609375,635,ETS1
211,non-targeting,21.888261358981254,1.0,0.0,20000,ETV3
212,ETV3_+_157108123.23-P1P2-1,0.0,0.0,19.31640625,135,ETV3
213,ETV3_+_157108123.23-P1P2-2,0.9978844900615513,0.045589938538087516,9.216552734375,140,ETV3
214,ETV3_-_157108137.23-P1P2-1,0.0,0.0,6.2247314453125,239,ETV3
215,ETV3_-_157108137.23-P1P2-2,6.688697070230619,0.3055837537998921,14.443603515625,118,ETV3
216,ETV3_-_157108149.23-P1P2-1,0.0,0.0,65.1778564453125,43,ETV3
217,ETV3_-_157108149.23-P1P2-2,2.7448293708619618,0.12540189126240014,22.5694580078125,252,ETV3
218,non-targeting,21.697037756712234,1.0,0.0,20000,EZH1
219,EZH1_+_40897027.23-P1P2-2,2.8220925471468346,0.1300681032494303,11.310302734375,847,EZH1
220,EZH1_+_40897041.23-P1P2-1,11.725373313997977,0.5404135553191171,6.2435302734375,241,EZH1
221,non-targeting,73.78625033961725,1.0,0.0,20000,FOS
222,FOS_+_75745519.23-P1-1,18.946185984721335,0.25677122631272625,52.527099609375,77,FOS
223,FOS_+_75745519.23-P1-2,0.0,0.0,29.04736328125,75,FOS
224,FOS_+_75745752.23-P1-1,0.0,0.0,17.6341552734375,50,FOS
225,FOS_+_75745752.23-P1-2,0.0,0.0,61.2279052734375,56,FOS
226,FOS_+_75746736.23-P2-2,103.71678952876594,1.4056384360417677,7.064208984375,97,FOS
227,FOS_-_75746787.23-P2-1,49.479521204285355,0.6705791523020225,23.93212890625,111,FOS
228,FOS_-_75746787.23-P2-2,55.765985729148944,0.7557774717169374,23.6717529296875,39,FOS
229,FOS_-_75746808.23-P2-1,39.55777966002853,0.536113157640553,11.097412109375,173,FOS
230,FOS_-_75746808.23-P2-2,63.42615550080233,0.8595931519608283,29.4012451171875,46,FOS
231,non-targeting,15.383567492608563,1.0,0.0,20000,FOXC1
232,FOXC1_+_1610373.23-P1P2-1,0.0,0.0,104.3475341796875,59,FOXC1
233,FOXC1_-_1610341.23-P1P2-1,0.0,0.0,21.4002685546875,114,FOXC1
234,FOXC1_-_1610341.23-P1P2-2,4.3721280235331506,0.2842076797617883,46.3280029296875,160,FOXC1
235,FOXC1_-_1610803.23-P1P2-2,0.0,0.0,21.8900146484375,92,FOXC1
236,non-targeting,0.20954502797394525,1.0,0.0,20000,FOXI3
237,FOXI3_+_88752142.23-P1P2-2,0.0,0.0,12.7666015625,236,FOXI3
238,FOXI3_+_88752179.23-P1P2-1,0.0,0.0,14.140869140625,234,FOXI3
239,FOXI3_+_88752192.23-P1P2-2,0.0,0.0,19.2188720703125,127,FOXI3
240,non-targeting,587.6279241478187,1.0,0.0,20000,GATA4
241,GATA4_+_11561738.23-P1P2-1,425.0165633622068,0.7232749600498788,180.5223388671875,99,GATA4
242,GATA4_+_11561738.23-P1P2-2,343.3741884590644,0.5843394677967824,214.5728759765625,54,GATA4
243,GATA4_-_11561674.23-P1P2-2,433.86540563276753,0.7383335403298976,99.780517578125,94,GATA4
244,GATA4_-_11561737.23-P1P2-1,463.7020483132121,0.7891082592538049,56.849853515625,107,GATA4
245,GATA4_-_11561737.23-P1P2-2,613.1586853169008,1.0434471544321298,21.03466796875,90,GATA4
246,non-targeting,216.90277753259576,1.0,0.0,20000,GATA6
247,GATA6_+_19749572.23-P1P2-1,90.50830325577408,0.41727590713849966,50.7801513671875,50,GATA6
248,GATA6_+_19749608.23-P1P2-1,219.78685783158818,1.0132966499175373,33.6412353515625,66,GATA6
249,GATA6_+_19749608.23-P1P2-2,126.890492699911,0.5850109166114394,20.2869873046875,180,GATA6
250,GATA6_+_19749633.23-P1P2-1,174.0537213415585,0.8024504034550779,84.6668701171875,55,GATA6
251,non-targeting,87.17739154362789,1.0,0.0,20000,GATAD1
252,GATAD1_+_92076875.23-P1P2-1,0.0,0.0,129.1724853515625,64,GATAD1
253,GATAD1_+_92076875.23-P1P2-2,18.802816048264503,0.21568454521668776,65.59423828125,125,GATAD1
254,GATAD1_-_92076976.23-P1P2-1,16.418456548957952,0.18833388173516688,54.993408203125,35,GATAD1
255,non-targeting,1.951439406911959,1.0,0.0,20000,GBX1
256,GBX1_+_150864655.23-P1-1,0.0,0.0,16.41796875,356,GBX1
257,GBX1_+_150864655.23-P1-2,3.147742674747085,1.6130363379963755,12.746826171875,122,GBX1
258,GBX1_+_150871789.23-P2-1,0.0,0.0,43.0855712890625,38,GBX1
259,GBX1_+_150871789.23-P2-2,4.479644495412844,2.295559103473074,11.557861328125,109,GBX1
260,GBX1_+_150871802.23-P2-1,0.0,0.0,73.6976318359375,89,GBX1
261,GBX1_+_150871802.23-P2-2,0.0,0.0,10.7708740234375,138,GBX1
