,num_valid_gRNA,pearson_r,expression_range,exp_0,exp_1,lin_0,lin_1,err_exp,err_lin,err_exp/lin
AFF4,6.0,-0.4766892009867936,0.8646259542147963,77896.94035699217,0.0002887681226461861,-17.75374823749204,4.181333329552055,330.99565924854744,24493711973.361553,1.3513495202708595e-08
AHDC1,5.0,-0.16559507184023917,0.6767859203425577,343864.3740181484,0.0003223687712212033,-72.04804130436384,26.071972503589702,7091.103634991446,226622314318.9964,3.129040340224361e-08
ARID2,4.0,0.47740690873045427,0.7533825732418581,112016.49485210233,0.0004249938490754558,-23.53873634539028,18.625578095524645,1665.891143960332,25220618474.823753,6.605274750194141e-08
ARID3B,6.0,0.7762780080070861,0.571844026733011,90678.58187164016,0.0005583490378705175,18.396328308594867,31.053645170438735,4624.9307661564,7651423158.917229,6.044536643835138e-07
ARID4B,5.0,-0.5811408914988535,0.34784691148011626,80950.97948930405,0.0006074717592714205,-48.13579105715987,0.7038470340130095,329.1148960637626,14126222073.95162,2.329815391127411e-08
ATXN7,5.0,0.26735813731746,0.5980344383075813,150264.65156490603,0.0004551316702827613,-11.726104510486328,23.822534742392065,3512.856858284695,12804745254.12914,2.7434023782331054e-07
BOLA3,6.0,-0.05651689812498536,0.29532497270474506,44915.15254167176,0.000516312269547192,-21.56662339309976,1.3936816023761742,284.7068457859958,8734830099.41577,3.259443429873221e-08
BPTF,4.0,0.5206376239557601,0.4123875445833291,239555.4166842847,0.00024693443048643267,-34.3289519408534,13.928943985222928,1013.4863843774142,63786164642.41248,1.5888812096777647e-08
CDK2,4.0,0.3732419264450717,0.36279169920911963,189232.08919501049,0.00026684954664123753,-39.14207562301477,9.528075315842932,2391.4258101365554,97675640497.36794,2.448333891602172e-08
CENPS,6.0,-0.5903709008069133,0.47199645328478274,0.011160092584465953,7.283954418782297,-15.273727720633,-1.7099371098297846,145.23683549332293,449.6771676336319,0.32298023103466217
CHAMP1,6.0,-0.6967317033528854,0.2580342133510974,3.1878825858943993,3.207401085428907,-65.22778817824806,-5.5283891348313805,1531.050283261875,17713.72266168887,0.08643300521878561
DAXX,5.0,-0.41374987354879983,0.6335717195696428,93244.24157181248,0.0007050273050855328,-46.93901712836038,10.476208948471566,2404.7758233614363,9305946803.276575,2.584128057249078e-07
DNTTIP1,4.0,0.17111390415735878,0.28349112808109556,179602.58200616195,0.0004577789097188557,-72.7269071579288,8.286644925117285,14194.773238742771,96698431107.03174,1.4679424553466776e-07
ELOA,5.0,0.21957696287802456,0.4658117676037512,76866.69582844574,0.000347805900888241,-18.94509043232708,5.523751957379057,337.98971431800703,13984156103.822308,2.4169475212424427e-08
