regions(hg38),enhancer_activity_REF_1,enhancer_activity_REF_2,enhancer_activity_REF_3,enhancer_activity_REF_4,enhancer_activity_ALT_1,enhancer_activity_ALT_2,enhancer_activity_ALT_3,enhancer_activity_ALT_4,REF,ALT,Coding,Active_REF,Active_ALT,qvalue,pvalue,fold,"final_sig(1 DA enhancer; 2 IA enhancer, 0=no change)"
chr10:100351342-100351513,0.79441166,0.91639207,1.17326683,1.116233,-0.1948516,0.02704256,0.20040758,0.09633653,0.03223376,1.00007589,FALSE,0,1,0.00221328,0.00020974,0.96784213,2
chr10:100881728-100881899,-0.9623241,-0.6209209,-0.8272614,-1.0424539,0.18527148,0.00854856,0.12842356,0.08718841,0.102358,-0.8632401,FALSE,0,0,0.00451637,0.00066751,-0.9655981,0
chr10:101783919-101784090,0.08133798,-0.0512126,0.02978162,0.05992679,0.65954644,0.58718006,0.61855065,0.60741063,0.61817195,0.02995845,FALSE,1,0,0.00064339,2.20E-05,-0.5882135,1
chr10:101959870-101960041,-0.2110274,-0.1810038,0.19341458,-0.0316683,0.18404715,-0.0628305,-0.1127809,-0.0701317,-0.015424,-0.0575712,FALSE,0,0,0.79702666,0.72627378,-0.0421472,0
chr10:102124319-102124490,-0.2630564,0.03570322,-0.1224844,0.13281036,0.08784687,0.27872076,0.15086066,0.0397537,0.1392955,-0.0542568,FALSE,1,0,0.19419164,0.11610305,-0.1935523,0
chr10:102158807-102158978,-0.010255,-0.1027384,0.23114108,0.08749741,-0.2073985,0.028966,-0.1033129,-0.4150127,-0.1741895,0.05141129,FALSE,0,0,0.18283985,0.10741894,0.2256008,0
chr10:102603228-102603399,-0.4308372,-0.006686,-0.1649876,-0.1197058,0.16485541,-0.1436919,0.1186416,0.1601617,0.07499171,-0.1805542,FALSE,0,0,0.13359582,0.07180352,-0.2555459,0
chr10:102673140-102673311,0.26609072,-0.1579152,0.30320903,-0.1777331,-0.2054657,-0.3271142,-0.2396675,-0.0426574,-0.2037262,0.05841286,FALSE,0,0,0.22388871,0.13912384,0.26213906,0
chr10:103647700-103647871,-0.7474311,-0.6574041,-0.6102125,-0.539808,-0.3701754,-0.2674,-0.2403318,-0.32804,-0.3014868,-0.6387139,FALSE,0,0,0.00616154,0.00112519,-0.3372271,0
chr10:103686987-103687158,-0.4304841,0.08667475,-0.3167492,-0.1617396,0.00810964,-0.055983,-0.1924839,0.17527794,-0.0162698,-0.2055746,FALSE,0,0,0.31834217,0.21800236,-0.1893047,0
chr10:103695890-103696061,-0.3172931,-0.5344208,-0.366837,-0.2005392,0.14306915,0.10667084,0.21746754,-0.0578144,0.10234828,-0.3547725,FALSE,1,0,0.01082299,0.00253543,-0.4571208,0
chr10:103750533-103750704,-0.0974198,0.21675362,-0.0042901,0.00225577,0.09114797,0.04317619,0.16833505,0.04592074,0.08714499,0.02932487,FALSE,0,0,0.57535093,0.46935476,-0.0578201,0
chr10:103777246-103777417,-0.1558465,-0.1609649,-0.1768772,-0.1657977,-0.4469906,-0.0430778,-0.0417592,-0.1876207,-0.1798621,-0.1648716,FALSE,0,0,0.91625319,0.88519734,0.01499049,0
chr10:104608979-104609150,0.38990747,0.2301068,0.41810017,0.0183514,-0.0553886,0.04812111,-0.0068818,0.01114556,-0.0007509,0.26411646,FALSE,0,1,0.11616933,0.0597052,0.2648674,0
chr10:104805726-104805897,0.82738376,1.26832636,1.15773463,1.15858596,-0.0136289,0.14575645,-0.0694073,0.09073541,0.0383639,1.10300768,FALSE,0,1,0.00291816,0.00032701,1.06464378,2
chr10:106766022-106766193,-0.7339782,-0.7425657,-0.5998463,-0.4698095,0.43366086,0.49609,0.65187792,0.61903291,0.55016542,-0.6365499,FALSE,1,0,0.00044059,1.05E-05,-1.1867153,1
chr10:107654240-107654411,-0.0525757,-0.1438775,0.19352045,-0.0847273,0.04174682,0.22248917,0.00336524,0.01400556,0.0704017,-0.021915,FALSE,0,0,0.46261572,0.35061515,-0.0923167,0
chr10:10787763-10787934,0.17139262,0.09162028,0.15653455,0.22375601,-1.1077563,-1.0935374,-0.9433424,-0.6414957,-0.946533,0.16082586,FALSE,0,1,0.00675197,0.00129684,1.10735883,2
chr10:10812424-10812595,-0.2976414,-0.5718907,-0.4565685,-0.357529,-0.1587784,-0.2962775,-0.3743022,-0.1050606,-0.2336047,-0.4209074,FALSE,0,0,0.13485533,0.07276031,-0.1873027,0
chr10:109897369-109897540,0.02983421,0.08484984,0.04805537,0.00992478,0.33470226,0.0229297,-0.0964435,-0.0763683,0.04620502,0.04316605,FALSE,0,0,0.98596416,0.97778,-0.003039,0
chr10:110083258-110083429,-0.0592375,0.1923465,0.06604662,0.09833027,0.79518654,0.48554235,0.53231494,0.58282923,0.59896826,0.07437147,FALSE,1,0,0.00617944,0.00113273,-0.5245968,0
chr10:110221793-110221964,0.15753509,0.14793338,0.02524874,0.18314747,0.35364452,0.28314648,0.24522834,0.12564831,0.25191691,0.12846617,FALSE,1,1,0.15463638,0.08653505,-0.1234507,0
chr10:110222231-110222402,0.24484705,-0.1870963,0.04084675,-0.0616935,-0.1887514,0.05374887,-0.0457941,0.00484397,-0.0439882,0.00922598,FALSE,0,0,0.72130132,0.63564991,0.05321415,0
chr10:110630026-110630197,0.01265283,0.41224577,0.22333462,0.24227505,0.22643852,0.29471038,0.23738115,0.0852811,0.21095279,0.22262707,FALSE,1,1,0.9317576,0.90554722,0.01167428,0
chr10:11066749-11066920,-0.2796118,-0.9144626,-0.7305806,-0.5192859,-0.1694424,0.19214407,-0.0552707,-0.0731239,-0.0264232,-0.6109852,FALSE,0,0,0.04033334,0.01512151,-0.584562,0
