,guide_chr,guide_start,guide_end,protospacer_target,transcript_target,closest_gene,closest_dist
0,chr16,70289419,70289438,AARS_B,AARS,AARS1,78
1,chr16,70289397,70289416,AARS_C,AARS,AARS1,100
2,chr16,70289477,70289496,AARS_main,AARS,AARS1,20
3,chr17,36948966,36948985,AATF_-_35306286.23-P1P2-1,AATF:P1P2,AATF,21
4,chr17,36949026,36949045,AATF_-_35306286.23-P1P2-2,AATF:P1P2,AATF,81
5,chr17,36949013,36949032,AATF_-_35306333.23-P1P2-1,AATF:P1P2,AATF,68
6,chr17,36949070,36949089,AATF_-_35306333.23-P1P2-2,AATF:P1P2,AATF,125
7,chr17,36949031,36949050,AATF_-_35306351.23-P1P2-1,AATF:P1P2,AATF,86
8,chr17,36949020,36949039,AATF_-_35306351.23-P1P2-2,AATF:P1P2,AATF,75
9,chr18,80109632,80109651,ADNP2_-_77867536.23-P1P2-1,ADNP2:P1P2,ADNP2,250
10,chr18,80109299,80109318,ADNP2_-_77867536.23-P1P2-2,ADNP2:P1P2,ADNP2,46
11,chr18,80109744,80109763,ADNP2_-_77867648.23-P1P2-1,ADNP2:P1P2,ADNP2,138
12,chr18,80109461,80109480,ADNP2_-_77867648.23-P1P2-2,ADNP2:P1P2,ADNP2,208
13,chr18,80109768,80109787,ADNP2_-_77867672.23-P1P2-1,ADNP2:P1P2,ADNP2,114
14,chr18,80109541,80109560,ADNP2_-_77867672.23-P1P2-2,ADNP2:P1P2,ADNP2,288
15,chr20,50930828,50930847,ADNP_+_49547361.23-P1P2-1,ADNP:P1P2,ADNP,500
16,chr20,50931150,50931169,ADNP_+_49547361.23-P1P2-2,ADNP:P1P2,ADNP,278
17,chr20,50931046,50931065,ADNP_-_49547603.23-P1P2-1,ADNP:P1P2,ADNP,382
18,chr20,50931407,50931426,ADNP_-_49547603.23-P1P2-2,ADNP:P1P2,ADNP,21
19,chr20,50931094,50931113,ADNP_-_49547651.23-P1P2-1,ADNP:P1P2,ADNP,334
20,chr20,50931012,50931031,ADNP_-_49547651.23-P1P2-2,ADNP:P1P2,ADNP,416
21,chr7,44104404,44104423,AEBP1_+_44143999.23-P1P2-1,AEBP1:P1P2,AEBP1,68
22,chr7,44104431,44104450,AEBP1_+_44143999.23-P1P2-2,AEBP1:P1P2,AEBP1,95
23,chr7,44104495,44104514,AEBP1_+_44144090.23-P1P2-1,AEBP1:P1P2,AEBP1,159
24,chr7,44104728,44104747,AEBP1_+_44144090.23-P1P2-2,AEBP1:P1P2,AEBP1,392
25,chr7,44104513,44104532,AEBP1_+_44144108.23-P1P2-1,AEBP1:P1P2,AEBP1,177
26,chr7,44104396,44104415,AEBP1_+_44144108.23-P1P2-2,AEBP1:P1P2,AEBP1,60
27,chr12,19439710,19439729,AEBP2_+_19592640.23-P1P2-1,AEBP2:P1P2,AEBP2,227
28,chr12,19440058,19440077,AEBP2_+_19592640.23-P1P2-2,AEBP2:P1P2,AEBP2,532
29,chr12,19439728,19439747,AEBP2_+_19592658.23-P1P2-1,AEBP2:P1P2,AEBP2,245
30,chr12,19439774,19439793,AEBP2_+_19592658.23-P1P2-2,AEBP2:P1P2,AEBP2,291
31,chr12,19439636,19439655,AEBP2_-_19592590.23-P1P2-1,AEBP2:P1P2,AEBP2,153
32,chr12,19439703,19439722,AEBP2_-_19592590.23-P1P2-2,AEBP2:P1P2,AEBP2,220
