,pval_outlier,target_region,target_name
chr9:130713809-130713827(+),0.988,chr9:130713809-130714264,ABL1_ENST00000372348.2
chr9:130713821-130713839(+),0.988,chr9:130713809-130714264,ABL1_ENST00000372348.2
chr9:130713859-130713877(+),0.9686,chr9:130713809-130714264,ABL1_ENST00000372348.2
chr9:130713979-130713997(-),0.9283,chr9:130713809-130714264,ABL1_ENST00000372348.2
chr9:130714246-130714264(-),0.9686,chr9:130713809-130714264,ABL1_ENST00000372348.2
chr15:34795282-34795300(-),0.988,chr15:34795282-34795526,ACTC1_P1P2
chr15:34795490-34795508(+),0.9999,chr15:34795282-34795526,ACTC1_P1P2
chr15:34795493-34795511(+),0.988,chr15:34795282-34795526,ACTC1_P1P2
chr15:34795508-34795526(-),0.9999,chr15:34795282-34795526,ACTC1_P1P2
chr1:236686531-236686549(-),0.8558,chr1:236686500-236686619,ACTN2_P1P2
chr1:236686545-236686563(-),0.9283,chr1:236686500-236686619,ACTN2_P1P2
chr1:236686595-236686613(-),0.996,chr1:236686500-236686619,ACTN2_P1P2
chr1:236686598-236686616(-),1.0,chr1:236686500-236686619,ACTN2_P1P2
chr1:236686601-236686619(-),0.9283,chr1:236686500-236686619,ACTN2_P1P2
chr3:38453852-38453870(-),0.9988,chr3:38453852-38454326,ACVR2B_P1P2
chr3:38453922-38453940(-),0.744,chr3:38453852-38454326,ACVR2B_P1P2
chr3:38453963-38453981(-),0.9686,chr3:38453852-38454326,ACVR2B_P1P2
chr3:38453977-38453995(-),0.9988,chr3:38453852-38454326,ACVR2B_P1P2
chr3:38454308-38454326(+),0.8558,chr3:38453852-38454326,ACVR2B_P1P2
chr19:8610466-8610484(+),0.988,chr19:8610466-8610708,ADAMTS10_P1P2
chr19:8610640-8610658(-),0.744,chr19:8610466-8610708,ADAMTS10_P1P2
chr19:8610678-8610696(-),0.996,chr19:8610466-8610708,ADAMTS10_P1P2
chr19:8610681-8610699(-),0.9997,chr19:8610466-8610708,ADAMTS10_P1P2
chr19:8610690-8610708(+),0.5963,chr19:8610466-8610708,ADAMTS10_P1P2
chr18:80109299-80109317(+),0.9686,chr18:80109299-80109786,ADNP2_P1P2
chr18:80109461-80109479(+),0.9283,chr18:80109299-80109786,ADNP2_P1P2
chr18:80109632-80109650(+),0.744,chr18:80109299-80109786,ADNP2_P1P2
chr18:80109744-80109762(+),0.9686,chr18:80109299-80109786,ADNP2_P1P2
chr18:80109768-80109786(+),0.9997,chr18:80109299-80109786,ADNP2_P1P2
chr5:148826603-148826621(+),0.744,chr5:148826603-148826848,ADRB2_P1P2
chr5:148826624-148826642(+),0.9283,chr5:148826603-148826848,ADRB2_P1P2
chr5:148826668-148826686(-),0.9997,chr5:148826603-148826848,ADRB2_P1P2
chr5:148826775-148826793(-),0.9283,chr5:148826603-148826848,ADRB2_P1P2
chr5:148826830-148826848(+),0.988,chr5:148826603-148826848,ADRB2_P1P2
chr5:132963540-132963558(+),0.9686,chr5:132963540-132963638,AFF4_P1P2
chr5:132963567-132963585(+),0.9686,chr5:132963540-132963638,AFF4_P1P2
chr5:132963570-132963588(+),0.988,chr5:132963540-132963638,AFF4_P1P2
chr5:132963573-132963591(+),0.988,chr5:132963540-132963638,AFF4_P1P2
chr5:132963620-132963638(+),0.9686,chr5:132963540-132963638,AFF4_P1P2
chr7:91940915-91940933(-),0.996,chr7:91940899-91941258,AKAP9_P1P2
chr7:91940926-91940944(+),0.9686,chr7:91940899-91941258,AKAP9_P1P2
chr7:91940935-91940953(-),0.2735,chr7:91940899-91941258,AKAP9_P1P2
chr7:91940938-91940956(-),0.9999,chr7:91940899-91941258,AKAP9_P1P2
chr7:91941240-91941258(-),0.9686,chr7:91940899-91941258,AKAP9_P1P2
chr18:58628828-58628846(+),1.0,chr18:58628828-58629034,ALPK2_ENST00000361673.3
chr18:58628859-58628877(+),1.0,chr18:58628828-58629034,ALPK2_ENST00000361673.3
chr18:58628970-58628988(+),1.0,chr18:58628828-58629034,ALPK2_ENST00000361673.3
chr18:58628979-58628997(-),1.0,chr18:58628828-58629034,ALPK2_ENST00000361673.3
chr18:58629013-58629031(-),1.0,chr18:58628828-58629034,ALPK2_ENST00000361673.3
chr18:58629016-58629034(-),1.0,chr18:58628828-58629034,ALPK2_ENST00000361673.3
chr20:57266591-57266609(-),0.988,chr20:57266591-57266656,BMP7_P1P2
chr20:57266605-57266623(-),1.0,chr20:57266591-57266656,BMP7_P1P2
chr20:57266609-57266627(+),0.0678,chr20:57266591-57266656,BMP7_P1P2
chr20:57266624-57266642(-),0.996,chr20:57266591-57266656,BMP7_P1P2
chr20:57266627-57266645(-),0.149,chr20:57266591-57266656,BMP7_P1P2
chr20:57266638-57266656(-),1.0,chr20:57266591-57266656,BMP7_P1P2
chr2:202376362-202376380(-),0.9366,chr2:202376237-202376395,BMPR2_P1P2
chr2:202376374-202376392(-),0.9366,chr2:202376237-202376395,BMPR2_P1P2
chr2:202376377-202376395(-),0.9985,chr2:202376237-202376395,BMPR2_P1P2
chr15:83284446-83284464(-),0.988,chr15:83284408-83284667,BNC1_P1P2
chr15:83284595-83284613(-),0.9686,chr15:83284408-83284667,BNC1_P1P2
chr15:83284627-83284645(+),0.9686,chr15:83284408-83284667,BNC1_P1P2
