,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,pval_mean,pval_std,distance_mean,distance_std,pval_mean_log,distance_mean_log,region_name,source,is_enhancer
OR10G4,4.3099365234375,0.019,4.863525390625,0.004,4.07666015625,0.015,2.2869873046875,0.204,4.1280517578125,0.017,5.2607421875,0.001,4.451171875,0.014,4.5562744140625,0.015,3.2764892578125,0.049,6.277099609375,0.001,5.048828125,0.004,3.8699951171875,0.026,7.0086669921875,0.0,2.5570068359375,0.158,5.2159423828125,0.007,4.3177490234375,0.011,3.9200439453125,0.027,2.835205078125,0.086,3.4776611328125,0.044,3.200927734375,0.058,0.038000000000000006,0.054145029416616954,4.2469482421875,1.1808804941419937,1.4201021303968961,0.6280769682500779,OR10G4,Control,False
OR10H2,1.42041015625,0.652,1.60107421875,0.523,1.4481201171875,0.654,1.1287841796875,0.855,1.37841796875,0.686,1.7657470703125,0.425,1.15478515625,0.833,1.7674560546875,0.431,0.96142578125,0.924,2.0594482421875,0.324,1.394775390625,0.671,1.1417236328125,0.818,2.8853759765625,0.071,1.0433349609375,0.898,1.897705078125,0.396,1.193603515625,0.835,1.155029296875,0.85,0.7579345703125,0.986,1.5029296875,0.597,1.1771240234375,0.816,0.6622500000000001,0.2381184744927131,1.44176025390625,0.4735962842163289,0.17897147521717144,0.15889304882860267,OR10H2,Control,False
OR10H5,12.55810546875,0.0,13.7427978515625,0.0,11.3199462890625,0.0,9.7021484375,0.0,11.9393310546875,0.0,13.9844970703125,0.0,12.0274658203125,0.0,11.7874755859375,0.0,10.2860107421875,0.0,14.962646484375,0.0,14.262451171875,0.0,11.703125,0.0,15.5958251953125,0.0,9.7767333984375,0.0,12.1256103515625,0.0,11.915771484375,0.0,12.8272705078125,0.0,9.419921875,0.0,12.0596923828125,0.0,11.25830078125,0.0,0.0,0.0,12.16275634765625,1.70543895074319,5.0,1.0850320067563117,OR10H5,Control,False
OR10K1,1.62451171875,0.634,1.48486328125,0.68,2.1749267578125,0.339,1.305908203125,0.785,1.5667724609375,0.678,1.74755859375,0.558,1.3453369140625,0.775,2.386962890625,0.243,1.250732421875,0.825,2.508544921875,0.228,1.6004638671875,0.603,1.3802490234375,0.751,3.195556640625,0.075,1.3389892578125,0.774,2.7979736328125,0.138,1.539794921875,0.716,1.2869873046875,0.812,1.5126953125,0.695,1.5528564453125,0.669,1.4654541015625,0.705,0.5841500000000001,0.23898629667828242,1.75335693359375,0.5544989309888989,0.2334681843943478,0.24387033509599165,OR10K1,Control,False
OR10P1,4.77197265625,0.014,4.6107177734375,0.024,5.09326171875,0.011,3.3941650390625,0.091,4.64404296875,0.018,5.6375732421875,0.002,4.19189453125,0.026,5.224853515625,0.011,3.27490234375,0.086,5.9854736328125,0.004,5.2908935546875,0.012,3.80078125,0.048,6.658935546875,0.002,3.41650390625,0.098,6.085693359375,0.005,4.7684326171875,0.019,4.7021484375,0.021,2.8663330078125,0.135,4.3128662109375,0.026,4.597900390625,0.014,0.033350000000000005,0.038007305391962405,4.66646728515625,1.0010439473536414,1.476773958034299,0.6689882255000923,OR10P1,Control,False
OR10V1,1.6083984375,0.739,2.203857421875,0.381,2.368408203125,0.312,1.67431640625,0.652,1.9442138671875,0.506,2.0032958984375,0.486,1.440185546875,0.774,2.212890625,0.385,1.2587890625,0.884,2.6109619140625,0.224,2.339111328125,0.299,1.9451904296875,0.507,3.8765869140625,0.047,1.7462158203125,0.577,2.7520751953125,0.215,1.7493896484375,0.591,1.84912109375,0.568,1.6287841796875,0.657,2.1507568359375,0.384,1.901611328125,0.498,0.4843,0.20784510933309017,2.0632080078125,0.5697038184303845,0.3148765635779035,0.31454301473575147,OR10V1,Control,False
OR11H6,3.2320556640625,0.073,3.6370849609375,0.035,4.851318359375,0.007,2.0545654296875,0.36,3.7159423828125,0.035,4.27685546875,0.02,3.78564453125,0.033,4.1063232421875,0.018,2.53076171875,0.176,4.533935546875,0.011,4.544677734375,0.008,2.6866455078125,0.138,5.9517822265625,0.003,2.446533203125,0.217,5.2421875,0.003,4.152099609375,0.022,3.9482421875,0.028,1.6932373046875,0.579,2.980224609375,0.09,2.8836669921875,0.118,0.09870000000000001,0.14514098409187492,3.662689208984375,1.1010544477653832,1.0056388480919989,0.5638000689376887,OR11H6,Control,False
OR11L1,2.3048095703125,0.246,2.7667236328125,0.122,2.4693603515625,0.195,1.510009765625,0.64,2.52490234375,0.181,3.20068359375,0.075,2.7950439453125,0.129,2.6898193359375,0.144,1.8961181640625,0.382,3.8345947265625,0.029,3.151611328125,0.068,2.24169921875,0.248,4.7894287109375,0.01,1.3975830078125,0.702,3.33740234375,0.059,2.53759765625,0.168,2.2177734375,0.291,1.8828125,0.422,2.1712646484375,0.274,1.802001953125,0.416,0.24005,0.19121590855420614,2.57606201171875,0.8092117129548954,0.6196801982373592,0.4109563132774927,OR11L1,Control,False
OR12D2,1.5982666015625,0.573,1.4730224609375,0.645,1.95263671875,0.331,1.1602783203125,0.841,1.7757568359375,0.496,2.3009033203125,0.249,1.7041015625,0.487,2.095458984375,0.297,1.2420654296875,0.754,2.6859130859375,0.134,2.0865478515625,0.278,1.3043212890625,0.73,2.7593994140625,0.101,0.9365234375,0.933,2.70458984375,0.13,1.8582763671875,0.413,1.65625,0.53,1.4781494140625,0.608,1.673095703125,0.493,1.706787109375,0.481,0.47520000000000007,0.23709638279999573,1.8076171875,0.5123567630755391,0.32311442892938025,0.2571064621130922,OR12D2,Control,False
OR12D3,8.4217529296875,0.0,9.4306640625,0.0,9.6148681640625,0.0,6.4029541015625,0.0,9.1490478515625,0.0,10.1458740234375,0.0,9.1876220703125,0.0,9.959228515625,0.0,7.6771240234375,0.0,11.349609375,0.0,10.79541015625,0.0,8.3695068359375,0.0,13.263427734375,0.0,6.3592529296875,0.0,11.0318603515625,0.0,9.9571533203125,0.0,9.1187744140625,0.0,5.757568359375,0.0,7.63134765625,0.0,6.9393310546875,0.0,0.0,0.0,9.028118896484376,1.8869493957166237,5.0,0.9555972699169194,OR12D3,Control,False
