,Unnamed: 0,guide_chr,guide_start,guide_end,score,strand,protospacer_target,intended_target_region,gene_target,source,closest_gene,closest_dist,closest_gene_target,closest_dist_target
0,0,chr9,130713821,130713839,.,+,chr9:130713821-130713839(+),chr9:130713809-130714264,ABL1_ENST00000372348.2,"OpenTargets,CHDgene.au",ABL1,993,ABL1,993
1,1,chr9,130713809,130713827,.,+,chr9:130713809-130713827(+),chr9:130713809-130714264,ABL1_ENST00000372348.2,"OpenTargets,CHDgene.au",ABL1,993,ABL1,993
2,2,chr9,130713859,130713877,.,+,chr9:130713859-130713877(+),chr9:130713809-130714264,ABL1_ENST00000372348.2,"OpenTargets,CHDgene.au",ABL1,993,ABL1,993
3,3,chr9,130714246,130714264,.,-,chr9:130714246-130714264(-),chr9:130713809-130714264,ABL1_ENST00000372348.2,"OpenTargets,CHDgene.au",ABL1,993,ABL1,993
4,4,chr9,130713865,130713883,.,+,chr9:130713865-130713883(+),chr9:130713809-130714264,ABL1_ENST00000372348.2,"OpenTargets,CHDgene.au",ABL1,993,ABL1,993
5,5,chr9,130713979,130713997,.,-,chr9:130713979-130713997(-),chr9:130713809-130714264,ABL1_ENST00000372348.2,"OpenTargets,CHDgene.au",ABL1,993,ABL1,993
6,6,chr15,34795282,34795300,.,-,chr15:34795282-34795300(-),chr15:34795282-34795526,ACTC1_P1P2,"OpenTargets,CHDgene.au",ACTC1,145,ACTC1,145
7,7,chr15,34795493,34795511,.,+,chr15:34795493-34795511(+),chr15:34795282-34795526,ACTC1_P1P2,"OpenTargets,CHDgene.au",ACTC1,145,ACTC1,145
8,8,chr15,34795508,34795526,.,-,chr15:34795508-34795526(-),chr15:34795282-34795526,ACTC1_P1P2,"OpenTargets,CHDgene.au",ACTC1,145,ACTC1,145
9,9,chr15,34795467,34795485,.,+,chr15:34795467-34795485(+),chr15:34795282-34795526,ACTC1_P1P2,"OpenTargets,CHDgene.au",ACTC1,145,ACTC1,145
10,10,chr15,34795490,34795508,.,+,chr15:34795490-34795508(+),chr15:34795282-34795526,ACTC1_P1P2,"OpenTargets,CHDgene.au",ACTC1,145,ACTC1,145
11,11,chr15,34795464,34795482,.,+,chr15:34795464-34795482(+),chr15:34795282-34795526,ACTC1_P1P2,"OpenTargets,CHDgene.au",ACTC1,145,ACTC1,145
12,12,chr1,236686531,236686549,.,-,chr1:236686531-236686549(-),chr1:236686500-236686619,ACTN2_P1P2,OpenTargets,ACTN2,60,ACTN2,60
13,13,chr1,236686598,236686616,.,-,chr1:236686598-236686616(-),chr1:236686500-236686619,ACTN2_P1P2,OpenTargets,ACTN2,60,ACTN2,60
14,14,chr1,236686545,236686563,.,-,chr1:236686545-236686563(-),chr1:236686500-236686619,ACTN2_P1P2,OpenTargets,ACTN2,60,ACTN2,60
15,15,chr1,236686500,236686518,.,-,chr1:236686500-236686518(-),chr1:236686500-236686619,ACTN2_P1P2,OpenTargets,ACTN2,60,ACTN2,60
16,16,chr1,236686601,236686619,.,-,chr1:236686601-236686619(-),chr1:236686500-236686619,ACTN2_P1P2,OpenTargets,ACTN2,60,ACTN2,60
17,17,chr1,236686595,236686613,.,-,chr1:236686595-236686613(-),chr1:236686500-236686619,ACTN2_P1P2,OpenTargets,ACTN2,60,ACTN2,60
18,18,chr3,38453852,38453870,.,-,chr3:38453852-38453870(-),chr3:38453852-38454326,ACVR2B_P1P2,"OpenTargets,CHDgene.au",ACVR2B,199,ACVR2B,199
19,19,chr3,38454119,38454137,.,-,chr3:38454119-38454137(-),chr3:38453852-38454326,ACVR2B_P1P2,"OpenTargets,CHDgene.au",ACVR2B,199,ACVR2B,199
20,20,chr3,38453922,38453940,.,-,chr3:38453922-38453940(-),chr3:38453852-38454326,ACVR2B_P1P2,"OpenTargets,CHDgene.au",ACVR2B,199,ACVR2B,199
21,21,chr3,38453977,38453995,.,-,chr3:38453977-38453995(-),chr3:38453852-38454326,ACVR2B_P1P2,"OpenTargets,CHDgene.au",ACVR2B,199,ACVR2B,199
22,22,chr3,38453963,38453981,.,-,chr3:38453963-38453981(-),chr3:38453852-38454326,ACVR2B_P1P2,"OpenTargets,CHDgene.au",ACVR2B,199,ACVR2B,199
23,23,chr3,38454308,38454326,.,+,chr3:38454308-38454326(+),chr3:38453852-38454326,ACVR2B_P1P2,"OpenTargets,CHDgene.au",ACVR2B,199,ACVR2B,199
24,24,chr19,8610466,8610484,.,+,chr19:8610466-8610484(+),chr19:8610466-8610708,ADAMTS10_P1P2,CHDgene.au,ADAMTS10,128,ADAMTS10,128
25,25,chr19,8610657,8610675,.,-,chr19:8610657-8610675(-),chr19:8610466-8610708,ADAMTS10_P1P2,CHDgene.au,ADAMTS10,128,ADAMTS10,128
26,26,chr19,8610640,8610658,.,-,chr19:8610640-8610658(-),chr19:8610466-8610708,ADAMTS10_P1P2,CHDgene.au,ADAMTS10,128,ADAMTS10,128
27,27,chr19,8610690,8610708,.,+,chr19:8610690-8610708(+),chr19:8610466-8610708,ADAMTS10_P1P2,CHDgene.au,ADAMTS10,128,ADAMTS10,128
28,28,chr19,8610681,8610699,.,-,chr19:8610681-8610699(-),chr19:8610466-8610708,ADAMTS10_P1P2,CHDgene.au,ADAMTS10,128,ADAMTS10,128
29,29,chr19,8610678,8610696,.,-,chr19:8610678-8610696(-),chr19:8610466-8610708,ADAMTS10_P1P2,CHDgene.au,ADAMTS10,128,ADAMTS10,128
30,30,chr18,80109632,80109650,.,+,chr18:80109632-80109650(+),chr18:80109299-80109786,ADNP2_P1P2,TFPerturbSeq,ADNP2,280,ADNP2,280
31,31,chr18,80109299,80109317,.,+,chr18:80109299-80109317(+),chr18:80109299-80109786,ADNP2_P1P2,TFPerturbSeq,ADNP2,280,ADNP2,280
32,32,chr18,80109744,80109762,.,+,chr18:80109744-80109762(+),chr18:80109299-80109786,ADNP2_P1P2,TFPerturbSeq,ADNP2,280,ADNP2,280
33,33,chr18,80109461,80109479,.,+,chr18:80109461-80109479(+),chr18:80109299-80109786,ADNP2_P1P2,TFPerturbSeq,ADNP2,280,ADNP2,280
34,34,chr18,80109768,80109786,.,+,chr18:80109768-80109786(+),chr18:80109299-80109786,ADNP2_P1P2,TFPerturbSeq,ADNP2,280,ADNP2,280
35,35,chr18,80109541,80109559,.,-,chr18:80109541-80109559(-),chr18:80109299-80109786,ADNP2_P1P2,TFPerturbSeq,ADNP2,280,ADNP2,280
36,36,chr5,148826603,148826621,.,+,chr5:148826603-148826621(+),chr5:148826603-148826848,ADRB2_P1P2,OpenTargets,ADRB2,114,ADRB2,114
37,37,chr5,148826668,148826686,.,-,chr5:148826668-148826686(-),chr5:148826603-148826848,ADRB2_P1P2,OpenTargets,ADRB2,114,ADRB2,114
38,38,chr5,148826661,148826679,.,-,chr5:148826661-148826679(-),chr5:148826603-148826848,ADRB2_P1P2,OpenTargets,ADRB2,114,ADRB2,114
39,39,chr5,148826775,148826793,.,-,chr5:148826775-148826793(-),chr5:148826603-148826848,ADRB2_P1P2,OpenTargets,ADRB2,114,ADRB2,114
40,40,chr5,148826830,148826848,.,+,chr5:148826830-148826848(+),chr5:148826603-148826848,ADRB2_P1P2,OpenTargets,ADRB2,114,ADRB2,114
41,41,chr5,148826624,148826642,.,+,chr5:148826624-148826642(+),chr5:148826603-148826848,ADRB2_P1P2,OpenTargets,ADRB2,114,ADRB2,114
42,42,chr5,132963540,132963558,.,+,chr5:132963540-132963558(+),chr5:132963540-132963638,AFF4_P1P2,TFPerturbSeq,AFF4,45,AFF4,45
43,43,chr5,132963579,132963597,.,-,chr5:132963579-132963597(-),chr5:132963540-132963638,AFF4_P1P2,TFPerturbSeq,AFF4,45,AFF4,45
44,44,chr5,132963567,132963585,.,+,chr5:132963567-132963585(+),chr5:132963540-132963638,AFF4_P1P2,TFPerturbSeq,AFF4,45,AFF4,45
45,45,chr5,132963620,132963638,.,+,chr5:132963620-132963638(+),chr5:132963540-132963638,AFF4_P1P2,TFPerturbSeq,AFF4,45,AFF4,45
46,46,chr5,132963570,132963588,.,+,chr5:132963570-132963588(+),chr5:132963540-132963638,AFF4_P1P2,TFPerturbSeq,AFF4,45,AFF4,45
47,47,chr5,132963573,132963591,.,+,chr5:132963573-132963591(+),chr5:132963540-132963638,AFF4_P1P2,TFPerturbSeq,AFF4,45,AFF4,45
48,48,chr7,91940915,91940933,.,-,chr7:91940915-91940933(-),chr7:91940899-91941258,AKAP9_P1P2,OpenTargets,AKAP9,216,AKAP9,216
49,49,chr7,91940938,91940956,.,-,chr7:91940938-91940956(-),chr7:91940899-91941258,AKAP9_P1P2,OpenTargets,AKAP9,216,AKAP9,216
50,50,chr7,91940935,91940953,.,-,chr7:91940935-91940953(-),chr7:91940899-91941258,AKAP9_P1P2,OpenTargets,AKAP9,216,AKAP9,216
51,51,chr7,91940899,91940917,.,+,chr7:91940899-91940917(+),chr7:91940899-91941258,AKAP9_P1P2,OpenTargets,AKAP9,216,AKAP9,216
52,52,chr7,91940926,91940944,.,+,chr7:91940926-91940944(+),chr7:91940899-91941258,AKAP9_P1P2,OpenTargets,AKAP9,216,AKAP9,216
53,53,chr7,91941240,91941258,.,-,chr7:91941240-91941258(-),chr7:91940899-91941258,AKAP9_P1P2,OpenTargets,AKAP9,216,AKAP9,216
54,54,chr18,58628828,58628846,.,+,chr18:58628828-58628846(+),chr18:58628828-58629034,ALPK2_ENST00000361673.3,TimeDep,ALPK2,160,ALPK2,160
55,55,chr18,58628979,58628997,.,-,chr18:58628979-58628997(-),chr18:58628828-58629034,ALPK2_ENST00000361673.3,TimeDep,ALPK2,160,ALPK2,160
56,56,chr18,58629013,58629031,.,-,chr18:58629013-58629031(-),chr18:58628828-58629034,ALPK2_ENST00000361673.3,TimeDep,ALPK2,160,ALPK2,160
57,57,chr18,58628859,58628877,.,+,chr18:58628859-58628877(+),chr18:58628828-58629034,ALPK2_ENST00000361673.3,TimeDep,ALPK2,160,ALPK2,160
58,58,chr18,58629016,58629034,.,-,chr18:58629016-58629034(-),chr18:58628828-58629034,ALPK2_ENST00000361673.3,TimeDep,ALPK2,160,ALPK2,160
59,59,chr18,58628970,58628988,.,+,chr18:58628970-58628988(+),chr18:58628828-58629034,ALPK2_ENST00000361673.3,TimeDep,ALPK2,160,ALPK2,160
60,60,chr20,57266605,57266623,.,-,chr20:57266605-57266623(-),chr20:57266591-57266656,BMP7_P1P2,OpenTargets,BMP7,18,BMP7,18
